prompt,answers
"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" at the Brooklyn Hilton. When the queens leave their ball-bearing seats and try to dance the ball in the middle of the show, the drag queen tells the stage manager a very shocking tale about how she saw the white drag legend's ""little"" white family for ""big"" and ""small"" in her house in Harlem before she left. The story has plenty of symbolism, especially the dancing in one scene where Ritz Carlton is asked to put on a show and he shows off his bare shoulders, ""I'm a little girl."" In the same scene he dances at a disco and as his mother comes home she is told to dress with him in all her clothes, so as to be able to look at himself in a woman's clothes. Finally when the girl takes the subway home after getting out from her night club and stops at her place to see what a great deal she had in store for her, someone remarks on the absurdity of trying to drag people and then she's asked by her mother why she didn't go up to get it, just to the surprise of everyone, it was just as stupid as this other conversation is of course. She tries to explain all the jokes and the people are just making them up from the audience because she must be stupid and not"
I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals.<br /><br />Overall, this film is a total bummer and should not be missed. The story is set in 1950s Britain and there are some very beautiful scenes with beautiful shots of locations taken in the hills of France. It would take the makers of this work a while to bring about some lasting insight into the setting and atmosphere of a story about racism and the need for love and friendship.<b />I am in tears during the film, but I hope this isn't just one film from the 70s. I'd like to know if any of the director/writer(s) worked on this or have worked in a major European film.<p><span class=""miller"" />First of all, the music of these two directors must have been used very well!!! Especially the piano is amazing!!! I also loved, and am still fond of, ""Alter"" because of it's music.<span><references needed]"
"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie made from the perspective of a black man or black woman, or someone from a poor background. The movie starts by a group of boys on the run from an evil boss(who is also white) and his henchmen who were caught on camera by the white cops. It also has two groups of girls and then a little boy from another group who is played brilliantly, but it also starts off with a bad girl who goes to a police academy and ends up in a jail cell where a gang of thugs get arrested after an attempted robbery. In the movie, we see the gang start out looking like the stereotypical mobsters. With the police finally turning the cops into thugs, one of the thugs gets captured and is framed by them. I mean, come on, that's not gangbusters at all and a mobster looks like a real white guy. Instead of being gangbanged thugs these cops are thugs with gangsters around them and that is, like, the film is almost completely about gang behavior because all of them are looking just like that guy and the black guys look like they have been gang hit in the head by someone who has seen the last of their gang mates. They look a lot like their black guy mates but they're not like all their hoods"
"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life...I mean he's dead.<br /><br />So what's a good reason to end this show? Well, it gets a few good points, but to start with it's obviously a lot of material. First it contains a list of new episodes from Star Trek to The Next Generation. We have a great deal of flashbacks, so that also makes this part of the show less of a puzzle and more of an activity. For those not familiar with the series, the events and events unfold in the episode ""Time of Future"".<br #2 <br _ _]1. The Enterprise (Star Trek: First Contact) starts ""On End"" in this sequence. As usual on StarTrek, we can see the Enterprise get damaged due to a meteor impacting the surface...<_ _ ]2. In this scene, Lt. Nimble has the nerve to put his gun to his shoulder and fire at a Vulcan at the scene of where Spock is still alive and the crew are fighting Kirk as he fires his Vulcan (which he does at least) to hit him... <_ ]3. Uhura is in a room with Kirk's father who is not wearing his father's uniform (He has been wearing a tunic, no doubt). She says"
"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth! It is one of the most intense and suspenseful martial art movies I have ever seen and it would probably be remembered by any viewer for years to come. The fighting sequences are just incredible and this one also was a huge success and I've since seen it again over and over again and am sure a new fan will enjoy watching this masterpiece in a much larger scale. Not only the artistry by the artists is top notch as well as the acting is even outstanding as was the case with each of them! The score is great as there is no doubt in my mind that this was once a martial artist that was famous at the time! And the special effects are even the best of this masterly film. And I'd even say that the sound was fantastic as it was completely out of tune with the dubbing and editing by legendary martial artists! My rating is 8/10 with all of it being one great martial martial epic film with a great cast! You can check out my review of ""The King's Blade"" on Amazon here: http://www.amazon.com/King_Blade/Rated-T/dp/B00PSQ6G01/ref=au_product_search_ref_do=10%2C_978145518"
"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life!!!!.. he is pretty good as the father, and he does have the look that was the 'perfect father' for the character. But after the finale, which is very touching and dramatic, his dad was still very much alive.<br /><br />When you consider the ending, or the last scenes in the film, you must think that this was a great finale for both of them. I can really see how it wasn't a coincidence the movie ends and this is the end of it all.<BELOW SPOILERS ENDING!! I have to read the whole script to judge whether or not the two writers were the same people and yet both wrote an incredible series which I do think is worth seeing!!! There is no question that i liked how these show worked on and i mean that is a huge plus.<BR /]There are so many great moments in ""Father Of the Prone (the 'original') this show should appeal to you! This show is great!! In the show itself, it is completely original and I think it goes into many different aspects. I really enjoyed the animation and the story that took place during the series and there are good examples of that, like the battle scene with Jack, the new guy getting his feet cut off"
i loved this movie,i loved this movie and I will never know what to make of this film's ending. I love to see what happens after such a bad movie. When I get back to my theater I've just had a few moments of self-assured delight (it seems they weren't expecting to leave) and a lovely little performance. A true gem on film.
"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff with an agenda. I would also like to be able to say that my friends did not like this movie until the moment that it first appeared on the IMDb. At the time, it was a must see that I had seen and liked many of the other films in the ""Fargo"" series. Now, I'm no Richard Ault enthusiast and I do not agree that there is ANY reason to even have seen it. So, while I have enjoyed many Se7ens, the original ""Freaky Ways"" made a lot of changes as well as rehashed some of those original ideas. The story line of these movies was fairly weak as is what seems to have been the main reason for the changes.<br /><br />The story is as follows: In 1952, William Travolta (Ethan Hawke) lives out his life as an insurance salesman in an all-nighter and suddenly realizes that his dreams of a better future aren't going to get him anywhere. To his surprise and his great shock, this millionaire brother John, a well-versed salesman and a devoted lover, decides to make it his goal to build an atomic bomb to keep a healthy population alive.<b />John has to convince his best friend and fellow salesman Frank"
"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela. We take historical facts of Venezuela and what brought them over. Many events happened during the course of a single year. These events are in stark contrast to the fact that most of them are now ignored. The only difference is that the people who are supposed to be victims of these events take the lives that have been taken in by some government officials and then are given in a manner that makes them seem as if one is going to die at some point in time. I do not think anyone can compare the story to any other film produced to date. A documentary about the events on the day events took effect is simply better for the film when it deals with current events and real events. As for those who can only think of two things: 1. that there is no reason why Chavez must choose a course, 2. because the government must destroy it if it cannot be destroyed, and 3. Chavez has no right to a power of his own. So it just seems absurd that he can choose to direct our lives as one has to choose between two different worlds. And this was the message of this film.<br /><br />After all, it is an examination of what actually happened on this day in Venezuela's history, not a criticism of those events as they happened."
This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm film! If you are a fan of some of the classics then you will love this film too.<br /><br />I watched the film at home with my mates on a rainy Saturday night in June 2006, and I saw the trailer for Part I of Part II soon afterwards, on DVD! I think that it is very fitting that I can say that this was one of ESSENCE's BEST MOVIES!!<br -Essence"
This is one of the best Bollywood movies i have seen up until now,"This is one of the best Bollywood movies i have seen up until now. I never saw Burt Bacharach in a film like this before! <br /><br />And when I say Bacharacha is a wonderful movie, i should really say this because i truly have no idea what would make me think of it once watching it. As far as i could tell this movie was produced by a smallish company but to my surprise i had never seen any films made by such a huge bunch of talented individuals on such an amazing stage!<br/><BR />The story is actually very interesting, the characters are incredibly intelligent and charismatic, and the main character's story comes off well! In one aspect a guy falls in love with an Asian boy and they end up together. They fall in with each other but then later that day two old boys begin to fall out but the girl falls for a man who would later grow up much better. In the end they fall and have romantic feelings for eachother, their love for one another is still strong, even after this their affection is reciprocated by one other man for some time. <Brilliant portrayal of Bajrang Dal as an ancient Hindu sect and a powerful leader; the movie is so powerful and compelling that i loved it! My favourite aspect of this film is"
"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments. My favorite of these is when a woman runs away from a dangerous man and finds her husband is dead. In this episode he is chased and killed by his girlfriend who is missing when he gets to his bed. Another great moment occurs when we see the dead woman carrying her cat in it's arms across the house in front of him and we wonder if these ghosts are a result of her body falling into the hands of one or another killer. This is what inspired the story to get this feature on syndication.<br /><br />This episode was made possible by the help of Michael Jordan and he really shines in his role as ""Homer"". We have to mention, the episode also provides a wonderful storyline which all of us will remember fondly. One of my favorite things about this show is the fact it never has to rely on the ""big"" shows like The Simpsons or CBS World. The storyline was developed from several conversations and by my own personal knowledge this has been one the most enjoyable show in television history. I highly recommend this to anyone that enjoys the quirky side of TV that loves TV shows."
Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen with a special effects film. From that moment we remember all of their stories -- fairy tale stories, dragons, demons, ghosts, a mad witch and a group of other creatures. The film also touches on all the issues of war, survival, love, redemption, forgiveness, etc., all throughout. And finally these stories must be told in very difficult situations. What was the point? This special effect production is the perfect example of how Disney would show us the fairy stories. We have to go deeper into it just to know what stories told to these characters, but at the same time it's also an extremely intelligent way of telling the story. In this film we must learn how to live and to love while we fight this evil. This means keeping the right background and knowing the importance of understanding, respect and how it affects both the characters.<br /><br />The special abilities are outstanding. Disney created the monster with everything from the sound effects to sound editing to adding special musical voices to achieve the effects of our heroes and villains.<blockquote type=""center"" />This film is definitely a masterpiece and I believe it contains over forty fairy scenes. There are so many more that show some really amazing story lines. I am very fascinated to see all Disney productions before it is"
I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it. Watching the movie it reminded me a lot of the film. There wasn't so much dialogue and I was watching Shakespeare as I expected it to. This is one I had been praying for before seeing it so I know I would be praying the same way in the end. It is, however, worth seeing and knowing that I will enjoy it immensely over the many many years to come."
"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) and ""Killer Instinct"". Although the acting is fantastic, it is all of the actors playing the roles to perfection. Not the least of which is the cast of some of these film makers. A true treasure of Irish cinema."
"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban. There's a scene where they are being interviewed about the same subject, the main question being ""What do you see""? The script is totally fake. I can tell the scriptwriters are expecting a man to tell how to fly, what to say, how a woman is supposed to act, etc. And the film is all over the place in almost every way, in fact every scene has the use of special effects that don't exist in the genre. You could tell when an action scene happens and when the camera has been set so perfectly that the action just does nothing. A film that is based on the best known SF novel is like a hit-piece that only gets better through better acting by a superior cast. <br /><br />As far as the story goes, it's all very simple, very typical Hollywood. It's basically a tale of two brothers, one of them an engineer, who have built a spaceship, while the other has a girlfriend who goes to university. The story is set in what is basically an isolated neighborhood between the two of these brothers. When the astronaut tells his sister of his girlfriend's love, his brother takes the spaceship away, leaves his daughter and tries to get the girl's boyfriend back, but when someone calls and shows"
i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it with their family and their kids! they loved this film so hard and so much!<Br />thank you for having me! for getting me home!!
(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie just watching it.<br/>< br />It seems like the most boring movie made. The movie is boring. I mean stupid. Its the kind of movie that doesn't do anything funny and just adds to the boredom.< br />What is the plot? Some guy who works at a bank (and maybe his boss thinks he's a scammer or something) manages to buy some stolen money and his wife who knows something good decides to go into the bank and they find (maybe?) a little lady. She discovers something nasty there.< BR /></br>< ><br/>What kind is that supposed to be? Well the girls are good, but the guy goes and he kills her, of course. And the ending happens. But when everything is so boring, I don't think this movie got a one. There is no plot. It's as if they are playing tricks on you.< Br /"
You're waiting to see if the remake is better or worse,"You're waiting to see if the remake is better or worse than the original!<br /><br />The acting by the new characters of this film is horrible. There are many bad lines and scenes of rape that I've never seen or seen directed by a decent person. The most shocking scene that i had ever seen and this includes no more than nine scenes in the entire movie! I mean it can't even be called a film! The way the acting is done is absolutely ridiculous. No one is made to look intelligent, intelligent or even intelligent by having any plot. I can tell you there is not any dialog or story with any character that is even remotely believable. All the people are completely devoid of the subtlety that makes the characters the perfect plot devices with the plot being no different from anything else on film. When someone says ""Hey, watch this movie like you've seen it before!"" the whole audience instantly assumes that something is amiss. <br/><b)This is one of those movies I never would want to ever see again. It's a movie that will always be remembered for that good time, but will never even get a chance to get back on track. If you watched the movie last night at the very last moment, it is your life."
To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made - and this is by far the finest of its era"".<br /><br />There are two basic reasons to view this film. Firstly, I would like to say that the film deals with the concept of suicide. While it does deal with this as a social issue at least it also deals in other issues which arise in society and relate to suicide.<br/>< br />Secondly, this movie deals specifically with suicide awareness, one of which is the suicide crisis. Suicide is one which can take many forms. Many people suffer with depression, which it should never happen in the first place. The film itself deals extensively with social and physical issues such as suicide, suicidal behaviour and suicidal thoughts. As such the movie is an excellent way a person reacts when confronted with a suicide attempt in person. It even discusses issues of self esteem and personal issues about suicide and coping skills. I personally have dealt with stress such incidents of over coping and the way in which people deal in their behaviour to help cope with life and death situations. In my opinion this documentary has to be viewed as the classic case study of the struggle within an emotionally wounded individual and how a relationship can lead to the realization of this. You should go see it with friends as you will learn from it how to deal"
"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth. The story focuses on what makes someone a bad person--somehow in spite of that, not everything works out for them.<br /><br />A girl walks through the woods one day in an early morning and finds something in her bedroom that turns out to be real--a young girl who knows the young guy in real life from just the video game. However, the boy's mom, a mother figure, doesn't think that it's really a big deal to her as much as they'd expect. And she believes that the girl should tell her own story, telling her father one of her dreams to tell his stories.<br - end of comments--<BR />The film deals with a couple of people who were not like other people--these young kids, with their mother and this whole'mystic' character, was completely unlike any other child I know at the time. This kind of story was supposed to make my heart go 'Oh, no no' and my face turn pale; and these two kids really did nothing to advance the plot or take it further, as I would have expected from a child of the 1950's. As for me, who isn't a huge fan of this movie, I like a good 80's movie that isn"
"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do. I enjoyed its storyline, characters, theme song and songs, the performances of great actors, great direction and directing: Bill Paxton, Paul Haggis and John Huston are superb. Even though it was the first movie of the era, I think there are many good reasons why I love it now.<br /><br />The characters are great! This movie also is one of those movies where I watch it again and again through rewrites or whatever else I don't understand! My wife and I have seen plenty of movies with their good characters on their side. This one is an absolute must have for all lovers of actors and actresses."
This is a brilliant political satire,"This is a brilliant political satire that gives political commentaries a fresh air in the modern era. It is very refreshing, entertaining and enjoyable to see a political debate being fought on a very old American scale. At 7/5, you will be able to recognize the similarities which exist between this movie and other films which have done it for other political parties in recent years such as: The Nixon Effect, The Vietnam War and the Reagan and Bush decisions."
You play as B,"You play as Burt Reynolds in this very funny role. The film also happens to be about two young lovers who, having no idea they are going to get married, get a really messed up letter signed by Reynolds. Both of these young people were able to understand that they would not marry until a very VERY VERY HIGH TIME.<br /><br />The film plays out at a fairly standard middle age movie where we meet the characters(especially Bo Derek) and have some close ups of their faces as they try to explain things that are really awkward to me. I have seen a couple of movies where this happens pretty prominently in both movies. In this movie, it takes the viewer a VERY long time to realize that the couple and their marriage have already been formed. That makes the movie quite funny in a way that few movies actually deal with. For example, the scene with the baby watching the video chatroom and the mom talking about how it is OK to let her grow up in your family, and how the film was a ""drama"", is actually pretty interesting and I can appreciate a little that ""humor"" has not been used to justify this way of storytelling since we do get to see Bo's mom and talk about the ""romance"" that's happened. Again, this"
This film caught me by surprise,"This film caught me by surprise. I thought ""I'll see it on DVD."" and that is exactly what I did! The acting was superb... the directing was very good, the script was good and the direction very well crafted!!! The storyline felt like you would not expect so often from an old horror film but I guess this film definitely helped, especially for those who have not experienced a modern horror movie. The film is very fast paced, suspenseful and makes you want to walk away with a full head on your head horror story. You might be disappointed by the performance by Mark-Paul Sorvino but he did a very real job, and I cannot thank him enough. Mark is always likable, I think he was more than a little intimidating. He does his stuff well, he has an extremely believable character to himself and he is one of the best actors of all time, one who makes a good living out of his role! His character development was also great, his acting skills are superb and you can really understand where his frustration is coming from. Even by today's standards, when a horror flick is released, horror fans will love it! Mark also has his good buddy Mr. Gogol on to explain what makes his movies special, which is great as well. A perfect compliment"
I was lucky enough to catch this movie while volunteering at the Maryland Film Festival,"I was lucky enough to catch this movie while volunteering at the Maryland Film Festival, which was a highlight of this month's Film Society. This movie is very well made and a great viewing experience for me--it's a documentary on the movie and there are wonderful visual sequences that truly remind people of their films. I can't say enough about the production values and production value of a film, although it is an award winning film. The photography, photography and the storyline and photography are the heart of the story, and it makes the characters so powerful.<br /><br />The writing, acting, sound effects and set design of each film are top notch, as well as being quite special. Most films I've seen with Tom Hoeken have a very good ensemble cast that has been a staple in the film making world. And the cast also includes David Harbour, Stephen Chow and John Travolta as the villains and antagonists who act out the stories. Additionally, the soundtrack and story is absolutely stunning, along with excellent sound recording and orchestral score.<embracing Tom, Tom and Linda the wise and wise man of Maryland and Virginia, this film can be enjoyed in any capacity with any mood or interest, even in a quiet movie. Definitely recommended!"
