,prompt,answers
10,"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" where they perform all kinds of musical dances. The film includes a cast including: David Lean with Fred Astaire, John Candy, Raffy Anderson, and Larry King. It was also featured on TV at this time, which may have been a great moment and perhaps one of the most underrated movies that have ever been released. This production (which I personally still use) was based upon an old newspaper advertisement that called for an introduction for the young people of NYC and they were invited in to perform. We learn about two young guys who arrive in New York seeking a job. A black girl who is from Louisiana and wants to marry, is denied admission to the show as she is not Hispanic. However, the white person takes part in the ceremony. With a huge audience watching, we become fascinated of this story of racism in urban America, how it got started, its aftermath and why blacks are so upset that these white actors were involved in such a disgraceful thing. There is the black boy named Michael who turns out to be the love interest of two white girls, a girl from New Orleans, (who was then a high school soccer player but has a boyfriend) and a young Hispanic girl named Laura, both born in a poor neighborhood. I know that the women in"
11,I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals.<br /><br />As a film, it was a great movie with great actors, fantastic characters and the cast was quite good. The way that Moksha was portraying is truly amazing. She is incredible. I wish I knew as much about her. When it came to women as in every other film she appeared to be a pretty blonde lady but she was beautiful and I'm just really glad I know she looks just like her.<sp / email): lindsay@mokha-film.nhsay.gov"
12,"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie they make. I really wish they did a little deeper into the story rather than the typical Hollywood plot that would have kept this interesting as the movie progressed. However, despite the numerous flaws in the entire film, it still managed to keep a fascinating view in my mind of what a real man was like after he left the military and what he would say in response to what happened afterwards. Not only does he have an amazing face that makes you smile, but he has a true compassion for people as well as war-haters. One is the guy who talks about his mother being a nurse as opposed to the man in charge, who is simply the opposite. He looks like his grandmother, his aunt is his sister's cousin, and he is almost like a brother to other men.<br /><br />I'll admit that I was a bit upset after seeing this film but it didn't even have to end like some kind of movie like The Matrix, yet it was really satisfying and there wasn't that many of the other horrible scenes I would encounter in other film. It is just that although it really was an interesting movie for those that love action movies, with some scenes that were really quite annoying and even that the storyline was actually funny if you are not familiar with the"
13,"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life.<br /><br />Clark's character is probably best known as an actor who acted a few more times with the ""Dirty Harry"" films. In ""Furious"", I thought this was another of those films where everybody would just come over to a car at night, ask questions and take off in an attempt to get money. I loved it.<b />I have to admit, I have a feeling that it was a hit, based on how much the whole movie had to suck to work and how often we see Clark look at the phone in the dark to tell Clark just ""no"" in front of his eyes, or a hand reaching back.<citation needed]<br p.s. please do watch The Naked Gun, only in a couple of places."
14,"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth to my present day. The movie has some excellent martial skills that I have found my favorites. Most of them I found as entertaining as they are. One character who I can't identify, that is in my opinion, is called 'Jin' who is a super-hero after witnessing many events in a fight that was very much a very very violent fight. Another character is 'The Rock', that my girlfriend and I saw from time to time, during training in class with our friends, who were sparring in the training grounds, or during the fight with the rest of the classes at the gym. They were so intense as to put us to sleep or simply to watch from their screen, this was really the highlight in our movie. I also saw it at a movie theater. It is quite enjoyable to see from a martial artist perspective. This movie is very realistic and full of tension and emotions. Many of these feelings come from the fact that we are all martial artists and they don't have a clear definition of what a'super-man' is. In the movie, in between a lot of brutal fights, some really brutal fighting is displayed in this movie because as we progressed through this film, a feeling of intense intense tension builds that comes back into everyone's"
15,"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life!!!!. Now, the first three episodes of The Twilight Zone are really good because they contain interesting and interesting parts. The whole movie about the two teenagers being bullied into doing something is fantastic. Plus that's the ending of this is funny and really clever. This is also one that has some funny moments because of it's relationship and its connection to The Simpsons. And the music in The Zoned Out Club is really interesting. It reminds me too much of Troma, although I still prefer their albums."
16,i loved this movie,"i loved this movie! She was super sexy and extremely attractive, i think she would do better with a more attractive actress like Anna's dad but unfortunately her parents hated her! (even though she was a little younger)<br /><br />Then there's the rest. I could only see two scenes in this flick and they were obviously scenes of a lot of love and some horror! If Anna was really into some of the worst things about watching all these crappy movies, it wouldn't really surprise me that there was some plot development at the end because she knew I was watching a horror film. (If that's a plot? Then let's take scenes where the family is playing with each other, and take away from those scenes a bit.)<hronely> I can't tell you how many of these ""romance"" scenes were actually shot in the theater because it would have been a terrible choreographed motion picture film! The story just didn't add up for anything, other than for an ending. It seemed like the ""singer"" was never really going to see the screen, but for some reason the actors just kept acting like she liked him. The plot was lame and cliché like a bad movie. There's no reason to be surprised by anyone else's views on"
17,"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff, as it's an incredibly unfunny and unoriginal comedy about a female ""giant dick."" Its premise is simple - one boy, played out entirely in black and white by a guy played in ""Gone With The Wind"" by Fred Astaire (one of the very best films of all time), has a freak-show encounter with a gorgeous woman whom he thinks is the perfect one for his little party - and who, in turn, has some sort of bizarre obsession with other women, possibly because he's gay, and he doesn't realize that women are just attracted to one another too much. We also have this bizarre story where we have to find a way to deal with the fact that at the end of every movie, the viewer actually gets to choose which of them to focus on.<br /><br />It was funny, for sure, but that's OK in a good way for a movie that doesn`t appeal to everyone.< br / >The screenplay is great (and that`s the point). The acting is just outstanding. The jokes are great too (if you don't know the plot, don`T watch it). And overall, there`ll be plenty of laughs in it. As I stated, unlike Gone With the Wind,"
18,"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela.<br /><br />What this is trying to say for itself is that ""Chapel"" had many of its problems in it's history and for many reason, but not all were solved immediately. Instead, the audience was left with a number of complex events which, ultimately, left its subjects with questions they cannot answer. One of those problems came in a tragic twist where the President of Venezuela elected to stay in exile (as a ""government official"") who was trying on his own behalf to rebuild the country.< br /hr>The second problem is with the violence in that country. The film deals with very real circumstances, such as recent events as a coup attempt taking place in March 2002 and recent years of violence towards the police and military, and we see a parallel with that violent war between the military and the Police. We soon find one where violence is real and real is allowed, particularly outside of civilian society. In this way, it is the story of what drove the people to turn to violence, what caused the political movements, who they led, even when they were at odds with each other, not just inside Venezuela but out.< Br /d />There are a couple aspects which were not explained. For one, for the most part the film was"
19,This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm film making which includes: Peter Finch (Peter Finch), John Hurt (John Hurt) Paul Newman (Pamela Diller) and Bill O'Neill (Bill O'-Donoghue).<br /><br />There are also some fine performances in Peter, Hurt and Odie and Peter's role as'sporty' Joe. This is one of the films best examples of British cinema in recent times.<br/><quote #6- The final scene where Peter shoots the cat 'Joe and his friends' with a large wooden stick. Peter is in the back of a taxi that was supposed to be in line for a flight and the car is about to land. The actor walks through London just as they are being photographed to set up the next flight so that the script writer then proceeds to make it a short lived one as the cab driver is on a crossfire. 'You want?' I don't know, was that his right? He is supposed, for the camera, to shoot the scene through the street and a woman walks up to him from a low window in his vehicle to check if he was there in fact he didn't shoot any of that with the stick in, but just saw it coming over and had Peter hit her head. There is"
20,This is one of the best Bollywood movies i have seen up until now,"This is one of the best Bollywood movies i have seen up until now. The story is about a young guy who leaves his mom and sister for the rest of his life in the middle of nowhere, and his brother and mother decide to move into a small city called Pune. He decides to get acquainted with his younger brother, who is a police officer. On his way he meets the guy he liked best: a bad guy. It's a mystery of sorts but no one suspects him. There are lots of twists and turns in this movie with lots and lots. I also liked the soundtrack a lot, especially the score by K.S. Pramod. Also good is the direction and direction of Sam Thafur. This movie is still good and interesting even today, not just today like this. So a movie must not only be watched if somebody has already seen it; but also if the movie itself doesn't look like a modern picture or doesn`t have a plot."
21,"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments, and this is such a good show. The production design is beautiful, but the music is pretty good and the special effects are pretty cool when there's really nothing to worry about. I gave it a 9."
22,Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen with his three children (Minnie Mouse, the Hunchback of Notre Dame, Fairy Godmother and The Flaming Lips) to help create a musical that will entertain audiences from childhood to youth, giving children and adults a chance to grow up with the characters that give them so many memorable tales. The story and characters are just as engaging and colorful, each tale is based on several stories, stories we learn together and that others have done more to create today's animation. All of these stories are truly unique and well realized, and come together seamlessly in one complete, cohesive and intelligent movie that is perfect for any family.<br /><br />""Sorrowful Dream"" is a delightful movie to watch all Disney fans enjoy watching this wonderful Disney legend come alive. I think all kids should see it. Because at the end of an evening watching the story unfold, this movie will be a one of a kind experience for all ages."
23,I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it without having to get a new Shakespeare textbook. So, it was the perfect piece of fiction! I will admit, the idea has been on my mind since I first watched it. Now in this film it is far from one I would ever ever expect and my only feeling from the film is that it does what it can to entertain but unfortunately, I have to go back and add more!"
24,"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) and ""Torna"". Although I was disappointed with the plot and overall low budget, I felt that I had some good footage. Unfortunately, the special effects were a bit dated and the film left me speechless. I don't understand why people would watch this to see the bad guys kill a bank, a car and a woman. Most vampires do a good job looking for weapons and it doesn't matter which one they use. While some of this looked OK and some looked bad, it wasn't nearly as bad as the movie had been made before.<br /><br />Some interesting things were made in this that didn't help me understand how people can rate this movie. For example, if a vampire is a very bad guy you might not like his actions or attitudes and I'll probably never believe him.<b />After watching this, even if you don`t really like the gore, you should at least get an interesting character study and/or character development in here. It was a horrible movie and you have to admit that it still had me watching it at night.<filed under: Movie, Sci-Fi, Zombie Apocalypse, Spies, Aliens/Vampires"
25,"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban and there is no racism or racism in the cast. I wonder why that is, I do not know. It should be mentioned that the plot is basically a story based on an epic poem where an ""Amish"" tribe is destroyed and a man is taken by a spirit and sent to the world by the ancient spirit man (actually a demon), whom he kills.<br /><br />It's a well-made drama. There are some really cute moments and I felt great singing along to and off the soundtrack and great music.<span style=""colorful"" style='color: #FF00FF'><span class=""footer-head"" height=""1.6"" color=""black"" size=""3"" padding=""no"" id=""n7u"" width=""100""]However there are issues which aren't worth mentioning. First all I want to point out that while the idea of an Indian as a character might seem odd, there were many elements that brought the story to life.<div><strong>I feel the need to clarify what is being said here, but I am going to go ahead and make things more specific. In order to say how horrible this movie is without spoiling it another question: WHY is there NO Indian characters in it,"
26,i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,"i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it!!! they will be laughing at how boring it is!!!< br / >for those of you with no idea how it all started, go look into youtube and there there you can hear a funny little movie. they could be so cool with this. i can honestly say that if that was possible it would have been even better."
27,(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie in its entirety and decided to pass it off as a great excuse to watch the new season. That being said, I definitely wanted to see this show again so much to enjoy more of it...as a whole I could recommend it....and the cast gave it a 5.5 out of 10, which means this is indeed a one of those show you may love. With the recent success of Star Trek The Next Generation, that should change. If you find yourself thinking a little that is still a waste to waste precious nights of your life (which are actually the most enjoyable) don't let this movie fool you. All that and the incredible talent behind this fantastic show will be sorely missed."
28,You're waiting to see if the remake is better or worse,You're waiting to see if the remake is better or worse than the original.
29,To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made from the director's side. I think it's one of the only films in the entire world that I actually enjoyed and I'm glad to report there are three very positive reviews I've read on this site as well. To say that this film was okay would be an understatement to say. It's a shame people who think that films like this deserve the praise they receive.<br /><br />To make matters worse, the writer has a tendency to paint a harsh picture of his work. Not only does he try to hide his name, but he paints this picture as simply a joke. And while I'll concede this has always struck a chord for me, I will always wonder, why this movie was even made! To be honest, this isn't very bad, and the good film just doesn't quite work as I see it. Despite the fact that it is slightly entertaining, nothing at all can save this trashy film from ending up anywhere near my level of sympathy for it.<BR />In other words, unless you are an avid film fan, then you will NOT like it either!<br roundtoughness: 0/10"
30,"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth, not really a movie to watch for kids, or for people who are a ""teen"". The plot, being all that in terms of the ""plot"" is about two friends who come to a party for one night and have their first romantic dinner together - and what the hell was that supposed to be? - to the party. It doesn't. I don't know... it's like a very nice one-night-stand movie, in a cute way, maybe something I actually enjoyed better. But at some point during my time here, I just couldn't figure out the reason for it and just wanted to give it 3 stars, which is because I think I did understand why it went so long. The ending is actually a good one for that particular plot point, because it does not happen (other's said that it might have) in any kind of way. If you're interested in romantic love with a few people and some of them seem to get off on the sexual references, enjoy it. Also, there isn't any sort of violence that the movie does, especially in front of a camera, so no, what I'm saying is... there are some good scenes in it, more than I could possibly recommend, though. You'll have to pay a"
31,"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do - I still remember the early 80's and early 90's with a happy ending. It's very fitting for the time period of that movie. This movie stands out as one of the most memorable Hollywood movie's ever produced - the one they all produced together. The script was amazingly accurate with its interpretation of an amazing story and story - and it was well-written, I believe, that's what helped save their name.<br /><br />So if I watch this, please let me know what I think about it (i.e., what does it mean to make a movie about life). Then, all in all, if you have a little time to catch up, skip this stupid, clichéd, boring crap and just get a good, old-fashioned film about a young young man who ends up living as the world's sole millionaire - no matter how old.<p/b]"
32,This is a brilliant political satire,"This is a brilliant political satire of what was at the heart of the current political climate, and the importance of that to our security. It's the last thing the United States should be aiming for. This should serve as a warning and encouragement that all other nations must follow suit.<br /><br />It's a very interesting subject of debate, but the central role for US-led intervention in the Middle East in recent years is more or less the same. The US has been an open and honest military partner in many different conflicts, yet the US remains steadfast in fighting al Qaeda and supporting terrorist groups. In a similar vein, the President has repeatedly said that his government is not trying to overthrow the regime but is instead trying humanitarian efforts in areas like the North and South, which is largely supported by China and is supported, at least by, many US foreign policy advisors, particularly from Canada, Saudi Arabia, Bahrain, Turkey, Iran and Turkey.<Br /></br><Br />I do believe the ""humanitarian"" principle is the most logical at this point because it goes directly to the core of why the conflict with the Islamic State in Iraq and Syria was so important. However I strongly suspect that in some respects it is right, with a ""yes' (but still with some of history's"
33,You play as B,"You play as Bitch, an Irish orphan who must have spent 15 years in Italy in order to re-establish her father's reputation as part of his wealthy family. Her performance is so lamer than that of any other actress from the time, and she is truly captivating.<br /><br />As a man and woman, I found this movie to be the best version in the film.<Br / >Watch this film with an open mind, you can be sure that you will be drawn into this journey along the way.<B-"
34,This film caught me by surprise,"This film caught me by surprise during my first viewing as a child and at times even a little bit scary and sad. I've gone to conventions, a film school, libraries, film parties, my local movie shop, video stores, theater chains, and any place that offers that sort of experience. What a beautiful world I found myself in. The story, characters, backgrounds and themes that were present in the first two films (and they are in many ways my greatest joy), have changed and evolved over the years. As a viewer, I hope that I will see these films again because many of my friends and relatives had seen them so many years ago in their younger years and it is sad to see it fail in comparison with the good work that all of them did through the last 80 years.<br /><br />A strong visual language plays an even bigger part in my family's history: I'm also proud of these movies because they represent the best work I can bring to my theater with all my talent as one of the principals of a student theater for kids with ADD and the disabilities that they encountered. They reminded me of what a good teacher I was on the film staff when they walked past and then watched those movies. And most importantly, because of how strong these voices spoke, it would be"
35,I was lucky enough to catch this movie while volunteering at the Maryland Film Festival,"I was lucky enough to catch this movie while volunteering at the Maryland Film Festival (now in its own right) last year. I was watching the opening credits and I just couldn't wait to see what it was called. After seeing the title, I can definitely recommend it to anyone who has not yet read Gutterman. He has done a fabulous job of getting to know our characters and also makes you laugh! The storyline is perfect and the animation stunning and well done and it's fun and thrilling to watch! If you haven't seen the movie yet, come and see this! I'd definitely watch it again and again (unless you're new. That's the only reason I recommend this one)"
36,THE JIST: See something else,"THE JIST: See something else this evening. I'm watching the film from the start of the movie. How did they call this film a Jist? JEST: I thought it was a B horror, but I forgot where to begin.<br /><br />The script was written with a great amount of humor, which is why everyone has said ""I should have seen this movie before it started, because I don't want to look stupid..."" But to see such an amazing movie was really refreshing. Especially, if you're looking for something that's fun to watch and a fun film, then you will like this one. If you've seen most of ""Dark Angel"" you might get the hang of it, as most fans will, so that you can get that same kind of movie back.< br />And it has one of those classic elements, not to mention in the plot you must get it into your mind to feel good about yourself. It's a good kind to be in this dark, scary movie, to have a certain level of detachment and happiness for the rest of your life as well. The scene in which I was playing with the dog (a guy in a very sad looking dog costume) was very cute, and it showed a boy growing up as a child. And"
37,"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank","Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank. She is the opposite sex to all of the rest of them. How does she decide to get involved in the movie? Do they all have a story?<br /><br />This film was supposed to be about an affair.<br/>< br />I have seen a LOT of films that deal with things like this, but it felt a bit forced by the fact that there were two people getting engaged at a same time. It's very easy to see why there aren't more people involved.< br />But that made it quite hard to concentrate on the relationship between the two men.<Br />, and it made the story even more complicated to understand. <br ->And because i'm not a big fan of Hollywood movies, I have also never really watched movies that dealt with any of these things. But to write this up, i need to put up a paragraph of my own to let everyone keep track of what's going on inside the house!< br -}It seems so obvious all to a tee, to many that this just is a film about a man being screwed over for no real reason, yet he does make an admirable attempt at getting laid.< Br /}I was quite shocked when i saw how he ended up being turned to"
38,"Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way","Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way, but in this one a new hero arrives at a haunted house, this time, a man whom they call the Black Mask. It's not just him that he's killed; the monster, they'll soon find out. Then, through the use of different colors, it's revealed all of this to mean a lot in ways we hadn't seen a whole lot of time before and that's how it fits. Director Robert Zieml and artist Matt Cusack both use their distinctive style to portray the story in such a way that the audience will not be forced into the action, their style in action film is also very believable and I can say honestly that none of these effects in here have been done before. The story itself is interesting and the special effects, look great with what we have, and look cool with the new one. There's enough of an idea here to make this a ""real"" dark and earthy horror movie with decent visual effects and a story that is so complex it could easily be adapted for television, so I really can't be too harsh on the cast just because I find that it seems like an all-in-one film with a great group cast, some great performances, an awesome concept and lots of fun to watch, in spite"
39,i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me,"i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me agreed...it was amazing! My main complaint about it is when they say that it's based on a true story this would turn out to be an unrealistic view I totally disagree on this fact. I thought the main bad guy was probably the villain of the film and it would give the writers and directors enough opportunity for them to make a new villain for this film. It should have had fun and had a great movie. The ending is a bit confusing though at first when a little guy goes flying up into space into the Sun/Earth space-time and goes right down into Earth and so on. To put it in a less confusing, but better and more original way, then this scene would've been a lot more memorable. My biggest complaint however, is that no matter how much money it will have at launch it has all the components and functions that a Sci-Fi series would have the potential to have, like the technology for the space station! It might've had more space and better equipment though! I found the movie to get a 4 rating on the SciFi channel. So I'm left asking myself ""how much of this was wasted when this wasn't a movie?"" I must have noticed some of their other 'official' shows were having much better ratings too and"
40,"The film maybe goes a little far, but if you love the show it's what you expect","The film maybe goes a little far, but if you love the show it's what you expect from it. A typical one night horror tale. As for me personally, I don't mind a bit of spoilers, so maybe you have the better of the story, right? <br /><br />1/10 - I give this a 7/5 after the two hours, because even though I disliked the first one, it would still be fun going into the next 10 or so minutes. It was quite satisfying."
41,This is what makes me proud to be British,"This is what makes me proud to be British. This is just one of the great things about it, and it's a shame that it didn't get the opportunity to come out in the first place. I am very proud of what we were doing - not just doing TV but also with the TV station, all the characters and the show. And I would agree that we do have a lot of respect for all those who can do so. Thank you guys for the movie."
42,"This was the second entry in the regular Columbo series, and it holds up well today","This was the second entry in the regular Columbo series, and it holds up well today (although it's very much better than it first came out). The plot consists of a group of two thieves that rob a bank and they are joined by the evil thief (I'll say this because we don't see him coming again). But, in doing so, they fail in some big way, as one man who has a hidden stash of money starts stealing. His nemesis who wants the money gets robbed of it. The other thief goes after the person who is robbing, with the help of one of his own guys. But the problem isn't the robber, but the thief. When this guy goes to help, it looks very dangerous. It's easy to forget that when he gets caught, the guy's been killed for his betrayal.<br /><br />The plot is pretty solid as well, especially the ending, where the crooks decide not to keep stealing, because once again, some really evil people are getting their hands on their money. However, how they got money in this story was never clear to me, until the end credits. I didn't think much about that film and then decided this was a good movie anyway. Not much else to say about this film, except that it does have some great acting."
