prompt,answers
"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" of whiskey in their mouth. They are held for a week. At the end of the week, some men find themselves standing on it waiting for their husbands to have the whiskey and they begin to feel a bit better about themselves and their love-life. The first time I caught this after being hooked after reading all the wonderful interviews with people from the drag scene, I thought that this film was very entertaining and very powerful. It is actually one of my all time favorites."
I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals, I don't want to spoil anything. If you read this piece of work on the side and enjoy its message, give it a try. For me it is a refreshingly unique and moving read.<br /><br />The story involves a family struggling with a major illness, which takes away all comfort and motivation as each family struggles with their personal problem.<citation needed) The family is led through a series of events throughout which they struggle to overcome all obstacles and the difficult situations that surround them, as well as the hardships of their situations.<brief synopsis (not intended)<br/><b]In the opening scenes, the family are sent to a clinic. They are surrounded by nurses waiting for patients to arrive. The nursing staffs give a lot of instructions about each individual patient's health situation and they discuss with the patients how they will cope.<crackling sounds to follow throughout the movie as they wait with one patient after another to be transported through the clinic as soon as possible (or they are just there to wait for the other patients, in the middle of nowhere,)<cracked music interspersed with several gunshots, and sudden noises in what appear to have been the hospital's (you guessed it!) room.<the family makes it to"
"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie of the late 20th century it's not.<br /><br />There are lots of plot holes, not just one. Most of my favorites, even these, are not plot issues and there's no such thing as real suspense at all. On the whole i felt the movie sucked, from how the police set up their crimes to which the main character, Mr. Pease, was responsible for setting up a plot to be used to manipulate the government into keeping him in prison. It's all so predictable, predictable and extremely predictable.<Br /></br>< br />The story isn`t that great and i wouldn`T blame anyone for that, but it`ll be a disappointment at the lowest possible bar or worse, the level of incompetence in the production.<BR /"
"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life.<br /><br />As for the ending, it was rather predictable...<br/><blockquote><b]I think you get the message: that in the end, Clark is an evil criminal who killed a lot of innocent people... and then came home to find him dead again... which is exactly the impression on the screen.<b><blowjob>So in short, the show just got started on TV; and, I'm not saying that's bad to do. It's just that there is a point of view I find unsatisfying. You can easily guess what I mean... that of course isn't all that easy... but since it has just gotten started, as opposed to the rest of the series, that is what it's going to be. I'd just like to point out that, though I don't think the producers are going away, given the fact that this is the second season of The Simpsons. The first season did have a strong season, and they went into the season with very much optimism. <br direct quote from Wikipedia"
"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth: from the martial art of the samurai to the magical martial techniques on show on TV. The acting is excellent as the duo of Kazuo Mizutani and Ryohei Takahashi, and their roles are excellent, they are the perfect duo to play the role of a villain. It shows what Japan can achieve if they go into combat with the right mindset and are realistic enough. And the scenes that they did give are priceless and really makes you feel what it is like to be surrounded and surrounded by love and family. I have never seen anything like it! They are good guys (in one scene they appear together in a movie) and well-played. Even after all the other movie ""chosen fights"" and fighting styles that I saw in the film, this movie is really worth listening to. This is my absolute worst Martial Arts movie. If you are going to watch this film on a Sunday night just start with you watch the movies, then you won't miss anything much! My biggest negative rating is that there were too many martial artists there that were never given a chance to spar with, instead of one of them being seen to make good mistakes that caused major injuries in other participants. In other words this is just a bad movie, the good fight scenes"
"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life!!! I actually watched about 20 or so of them. I got this film on DVD in early August 1983. That would be my first VHS movie, and I've never seen a DVD except for the last film made in 1974 (Proud Citizen). It just has an American look to it. And even if the movie wasn't technically an original feature (which is technically possible), the sound track, music, effects, dialogue etc. are quite excellent. It looks great, has the special effects well integrated (I think). The music in the film is especially memorable in its melodic style, very very good overall. The film also has a few special features, most notably, a lot of footage featuring some lovely animals. Some of my favorite scenes are in this special film  the scene wherein the dog tries to get the cat (with her, I think) to run with it for dear life is absolutely unforgettable."
i loved this movie,"i loved this movie. I had to watch it again, after going through the motions to find the way that this would feel to me. This was not an extremely good movie for people who like to like the ""old school"" story because the plot is the same. The movie is so bad and the pacing is awful that it took me 45 minutes to figure it out. For the record, I am not a fan of the movie, because it didn't seem like it was going to be a great film in the mold of it's sequels. At its core, this film was just bad. From the beginning, he's pretty much in love with his partner and he doesn't mind being left alone to do everything that he feels like doing...in my view, it does make him feel a little more at ease, though.<br /><br />So where does this come in? Well, let me first state that the script is terrible. And I think that's right. In a movie like this, a good script should have a sense of pacing that is in-order for it to move its audience in all directions. After all, the writing is at least as good as the characters. Some scenes are just so well-drawn that they are hilarious. Other scenes or characters aren"
"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff of The Se7ens, and it has its flaws.<br /><br />There's a lot of bad jokes here, some of which take for granted that the characters' voices and actions are what make them great. But, for me, it's hard to come up with a better excuse for the jokes than the first ten minutes of the film. A movie that should have been titled The Flocks of Babylon. The first 25 minutes is a must see.<Br >""I Am The Princess Of The Moon"" is one of those movies you're probably most aware of; it deals with the adventures of a princess, Tiana. It's pretty dark, but is incredibly beautiful, which makes for a film that is perfect for those dark days, as it depicts TIA herself in her final moments, all in black and white! In fact, by the end of that film, she is absolutely gorgeous, stunning, beautifully sexy and oh so smart! When I see the next set of music, I'm reminded of my teenage year. All my favorite songs are now on their way to me: ""You Should Live Your Life In Black And White!"" ""Sweetheart"", ""Beautiful Women"" and ""Don't Look Now at My Eyes Forever""! Oh the good"
"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela. The central character, a beautiful student, comes to a great understanding that the world is not ready and that everything is a threat. He and his friends are on a journey to make their dream come true; a road in which most everyone around them is on the same boat. This is based on one of my earliest childhood memories, when I played football for my dad and our older brother and we would go into school and make our own decisions as parents. There is nothing wrong with that. It is almost completely non-fiction in my opinion, but as I said when discussing the nature of reality, it is always a little different since we always have different perspectives. As an observer, I always keep in mind that our protagonists are all human beings, with their own particular beliefs and values. For me they are the 'heroes' who have put everything ahead of what they believed in to prevent another tragedy because of their convictions and desire: the fear the government imposes on their world and their families. And when we accept any change, we all know it will come. That is, unless we are willing to accept the consequences. Of course the people we represent (including the main characters) are also people at the ends of a circle: we become the protagonists' friends and"
This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm film quality, the actors' work is quite original to the format in this film. So, in my opinion, this is one of the best film sets I have seen (I am a film aficionado of 35 mm and I am very fond of it).<br /><br />In terms of technical merits, I think it deserves its credit. The editing was done with extraordinary skill and the atmosphere is good.<br -Darryl Fossey, Director (Director)"
This is one of the best Bollywood movies i have seen up until now,This is one of the best Bollywood movies i have seen up until now. The acting was great with all the action scenes taking place in one scene. It was a delight watching the actors do something I normally enjoy but was scared when I saw they were really bad actors.<br /><br />Kudos to Rajender Manjhi who did a superb job. A great movie and a must see to all those who adore it.<divider><divide><
"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments like the sudden appearance of an annoying dog, the ""bad guy"" and the dog's behavior towards him - though we get to know him better during an episode called ""Coffee Row""."
Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen.<br /><br />One of these stories was the play Little Macbeth by the legendary James Arthur. This was one of his biggest productions and he did it with such accuracy. The play was perfect, the main character was superb and the dialogs were outstanding. I couldn't wait for this movie to come out in theaters, I've never seen so many animated movies with fantastic writing and directing. My favorite scene is the final scene when the princess falls down from the golden throne. All the way through, it felt like an eternity in this wonderful tale. <br/>< br />After this success on Broadway, George Osborne signed this magnificent film to release on DVD, with an exciting storyline, which I think anyone would agree greatly enhanced the enjoyment of Disney. George's filmography is full of great movies and they all go above and beyond everything Disney's been saying previously.<a href=""http://www.walteproductions.com/"" rel=""nofollow"" />I highly recommend you see this film, make sure to sit through this one and get your ears ringing for the wonderful characters portrayed in it."
I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it. The only mistake was the idea of seeing William Shakespeare playing the main characters; they were all familiar to me in the novel.<br /><br />My only other problems with Père (which I had also read about in The Odyssey, The Tempest, Hamlets, and so on) was that it was so slow. It is hard to understand how someone will think it will be long and I never looked back.<BR / GARY PERRY was superb even before I saw this video. I thought that she was in great fashion in this and that the direction was definitely good and directed well. A very underrated role and one she proved to be very attractive to her role with the great ""Little Rose"" and Joan Crawford in ""Bare"". I'm happy that they all had the auditions they had to wait to see how well they would be recognized by the viewers. All told this film is a very good work of art and it has the ability to attract and entertain many. When I was young I would always look forward to seeing the story unfolding at a higher level than what I see in today's contemporary cinema with a much less predictable production.<b]BEST CRYSTALS ON DVD! Not even David Foster Wallace ever appeared in a film with"
"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) but instead I couldn't have known where to look. I'd much rather see some B-movie (especially one from Universal) than sit through this tedious pile of nonsense.<br /><br />This film has some nice dialogue but lacks subtle dialogue and dialogue. The scenes are repetitive and the actors seem to enjoy doing that type of thing. There are some scenes where blood flow and gore is unnecessary but this hardly even comes close to the pace and pace alone. You don't even notice any kind of fighting. If you enjoyed the ""Girlfight"" trilogy from the other reviewer. This is the worst of all the B movies ever made. Every single member of the cast, including the two main voices, failed to deliver to me at all."
"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban, but this movie was more like it. The character of the two characters was just plain ridiculous and ridiculous. <br /><br />For example during our main character's graduation we are shown that he is a retired policeman with a long white tie, an extremely thin beard, heavy-set eyebrows, thick thick bangs, black eyes and a very heavy nose, which has become too heavy, as well as a lot of black nose beads. There is also a scene where one of his friends says to him: ""What an ass!"" I was in disbelief, I couldn't believe my heart went out to the person on screen laughing.<br/><blockquote><span id=""15184788"" align=""center"" title=""Suck it up"" style=""border:none; padding:; border-bottom:1px solid #ccc; position:""vertical;"" borderblank=""true"" padding-clinics=""6"" margin-of-visibility:""12pt""/>I do not know if this is meant to be a ""movie"" or just a way to show off the work being done! <blockhash cite="""" class=""by-reference"" id=16253036 title=SUCK IT up]To quote one"
i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,"i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it!!! i thought he looked great, especially his boyfriend (i wonder if it is really him!).< br />i love it. it got to the point that i gave it 2 thumbs down.<br..."
(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie. One of my favorite characters is played by a woman you never know who will ruin your life if you fail to show it to her. And that is the whole movie that comes after the girl in the center, is a little too sweet, too silly, and a big mess for any good movie.<br/>< br />The characters themselves are quite forgettable. You get to know the one who is going to be the baddie as he and her brother come from different backgrounds to survive. But this movie is very far from perfect.< br />There is just one aspect that annoyed me the most (which is that, I found it impossible to watch this without seeing the film with subtitles). The characters just didn't look like real people.<b>1/10"
You're waiting to see if the remake is better or worse,You're waiting to see if the remake is better or worse than it was.
To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made to have a story in it.<br /><br />It is the story of a widowed young American who finds fame as a radio playwright who dreams of taking a ride on the popular radio. As he tries to find friends again he becomes a successful radio presenter. A little girl is born, and eventually begins a singing career in radio advertising. The children make a great deal of money on their show though it is very amateurish at what they produce for the money and they are pretty bad performers.<citation needed)<br -Title(s):A Matter, Life & Death;Director/Director/Writer/Comed Producer/Stars (The Lone Ranger;The Terminator;Rookie;Gone With the Wind;TNG;Space Seed)"
"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth compared to most of the other movies in this pile of crap. But I think it will carry you, or keep you entertained throughout your time.<br /><br />I could go on about any aspect of this movie, including why it was taken from the original script, how much I disliked it, whether or not it had potential, what made the scenes interesting to watch, just what I liked and disliked about it. It did have some interesting sequences which I found pretty creepy, which made me glad that I was watching this. I thought it reminded me of a good old porno horror film.<b /=13>The premise makes this a very interesting film and a pleasure to see! Great visuals and memorable music that make the movie an instant classic. The soundtrack is great as well, as the music is not too bad, although some of it might have been used in a cheesy movie but actually makes the acting rather enjoyable. Oh yeah, there's even more nudity than in most other porn movies, the fact that it takes place at night and is pretty tame compared with most movies makes it worth viewing if you really have nothing better to do of watching than watching a movie.<citation needed) I would highly recommend this to those who like to check out some well"
"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do. I'll still cherish it.<br /><br />I love J.R. Smith's novel, he wrote the novel that this made me think. He wrote a novel for so many years too. A true masterpiece."
This is a brilliant political satire,"This is a brilliant political satire. An unapologetically anti-establishment political party, ""The Nationalism"", that tries with an unconvincing amount of self-serving logic to make the voters ""foolhardy"". I have never been so disgusted by this sort of political nonsense. It's a shame we didn't get to see this film in a wide audience just so many years ago - as the best of the great political comedy and film. I mean the most recent examples are the recent Oscar nominee film ""Prisoners of Wooten"", in which the central character is sent to prison in the UK without any parole. This was a terrible depiction of a truly rotten society which is far worse than the modern social order or even the way people behave today. The idea that such a country could be so completely corrupt and corrupt on the surface is laughable. There is nothing positive in these films. At best it is sad as to some of its actions. If this is the case then the fact that the character of this cynical, self depraved person in this movie is an example of why we need to take his political views seriously, why it all seems so absurd and ridiculous - is just a bad comment on this political scene. Shame, shame on Hollywood."
You play as B,"You play as Babs and one day his wife has turned him inside out... and he's got more money than they (or I) want. Also one of my favorite scenes is when he sees a bunch of guys dressed up like a gangsta.... they have a ""kid with a gun"" he makes sure to shoot them. I love that scene but I just wanted to add my own piece of goodness.<br /><br />The only bad thing that this movie had. The whole plot was laughable and that was at the heart of it. There wasn't enough in the movie so I decided I won't spend my time watching this pointless f***. Why did I even bother watching the first 40 minutes, I'm an idiot.<br><Br /=br>My rating isn't so high because only 10 other people did. That doesn't mean you should give this film a three or a four. It is a damn good horror film and for a budget of $1.15, this is one movie that deserved to be seen more times, but it didn't."
This film caught me by surprise,"This film caught me by surprise and I just love the way it works here. Everything is great. I've also noticed that the main character's mother, who was really nice to say when I said I was in love when she said it, was completely gorgeous as always. The only real surprise about the movie is that everyone else in the audience didn't make that comment that made me so happy. One scene was when the sister is eating dinner in a diner and she looks at the screen and says ""How come you looked so nervous for dessert?"" I saw that scene and was laughing at her so much. When she does that it makes me feel as if the film is going nowhere. <br /><br />I really love that movie and it made my heart beat for me to see a lot more of it. This may not be a masterpiece for every lover/fan, but it is amazing. For even a beginner and for anyone who finds a movie like this entertaining, it just makes my life much easier! <a href=""http://www.amazon.com/gp/product/B000Z0R0Q4I"" - Previous review]"
I was lucky enough to catch this movie while volunteering at the Maryland Film Festival,I was lucky enough to catch this movie while volunteering at the Maryland Film Festival and watched it over and over again. I was so blown away about how much I loved it! What a huge blessing to finally have this film in the possession of a DVD player! The quality is great! I love that I got my hands on it and will enjoy it throughout my lifetime!
THE JIST: See something else,THE JIST: See something else like this? That would be fun and educational!
"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank","Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank, while the rest of the cast is doing the most of their part as she is being hunted by pirates.<br /><br />My only complaints are the title (although I suppose I can say that the book about the raiders would have been better).<br PICTURES OF THE DEAD"
"Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way","Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way as his first sequel). It's an effective and moving thriller where the characters become aware of the nature of their existence as human beings. The novel is a tribute to King and shows us that they were not just human, but human-like. ""Man in the Machine"" is very different from the original and contains a good few scenes but also a lot of moving themes. Kubrick was the first filmmaker to direct an original film and is widely regarded as one of his pioneers by critics. I think it's great that his other projects were successful and his vision has become the norm as a director. Another nice thing about ""My Man"" also comes from a very well-known film writer(Kushner). We now have excellent and diverse directors who are able to take this genre as far as making it even more interesting with a more compelling and intelligent story. This is also the film that gives a great reason why even horror films fall into that category. In ""Shattered"" Kubrick is able not to lose touch with his own film but he still manages to be able of making interesting interpretations of other films from his work. Even now though, though he hasn't fully achieved all the visual aspects yet, as time progresses, films like ""The Shining"" and ""Dead Silence"""
i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me,"i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me was right.<br /><br />As is, most of the film takes place in a big city with little to no transportation. However, I believe that there was plenty of time to live out and the scenery was nicely shot in such a way that if you had to walk up and over it you could take a look at it. Also, unlike some movies made in the '60's where the shot is a bit larger than it should be in order to achieve the shots where they need to work, this one was well shot, and had its moments.< br / >The acting was very decent. The story of a boy who has the help of an extremely attractive woman who gives him a good education was a pleasant surprise. <br/>< br />Overall, a must see!"
"The film maybe goes a little far, but if you love the show it's what you expect","The film maybe goes a little far, but if you love the show it's what you expect from the whole series. It is really entertaining and does a wonderful job at conveying the main concepts through the eyes of people who have never been involved with the program. The show is highly entertaining but not the greatest show I can think of that I have seen recently."
This is what makes me proud to be British,"This is what makes me proud to be British and how we have a reputation that we deserve to live. We have always loved the British as friends and a neighbour. What does our new country have in common? A beautiful and beautiful British countryside, a vibrant and vibrant history and culture.<br /><br />But, unfortunately there is just no end to what some have described as the 'Belt of Britain', something which just makes the film so disturbing. There are so many characters including the late Reverend Peter O'Connor and many of his fellow Church members on the fringes that I do not understand why they are forced into the role with all the faults they have on both sides.<Br />I have not seen the movie and, however, as I am a lifelong British member of Church I have the privilege of watching it for myself. A lot of that is done for my own happiness and enjoyment because of the original concept of this film making the most of every single minute I can think of. However, I must note that Mr O's comments also describe the ""Bands"" as being part British (even though they actually exist or originated in the UK). As such, they do have many members in their church or Church or local community and the same people are not the least bit involved throughout the overall plot,"
"This was the second entry in the regular Columbo series, and it holds up well today","This was the second entry in the regular Columbo series, and it holds up well today. <br /><br />The movie features a scene where the two astronauts watch the scene unfold in different sets and the film takes all the footage into consideration. We see the crew sitting around in an empty room with a chair, with the rest of them sitting on an observation deck in some of the cooler weather of Saturn's atmosphere. They are both in one of those cold rooms and are at the bottom of a gigantic lake. There's also a shot that takes the astronauts down and then back through a very thick layer of ice with ice embedded in it. (Or maybe they were just sitting there watching the movie with no water when that ice layer began melting and they just looked at each other.) From what we see they are wearing shorts and hats with long black stitched hair that have thin streaks that they never show on the pictures. On screen it looks like they probably took two hours or more to work on this, but it never got out of hand and never slowed down to a pace of no more than 60 frames every 30 seconds.<br/><span style=""font-size: medium; padding: 3px;"" title=""The Colombo Escape"" type=""text/html; font-family: Colormont; margin-top: 10px;font"
