,prompt,answers
10,"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" across the country. It's a great film to watch out of black drag, because it is a film for the black community. This film is great for black people, it has great performances by the characters, and it's amazing to see how great it gets.<br /><br />""Rite of Passage"" is one of the most amazing and unique films I have ever seen. I highly recommend it to all the talented black women who are out there. If you're in the right mood, rent it, you won't regret it. ""Ride"" might be right up there with your best movie, I won´t forget it! It has amazing acting, great music, an amazing story, a superb soundtrack, good story lines, amazing costumes, stunning sets, beautiful special effects, fantastic sets of music and great special effect effects. Each character is unique and you will love them! This is the perfect movie for you, to have your own unique voice, for your group or at a party, or your whole life. You won`t feel alone, frightened by it or ashamed of it; it might even make you laugh out loud! I recommend this film as a must-have! Many times I ask myself why this movie came out for me,"
11,I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals, this film is a must see for all film fans, if you happen to like the kind and subtle humour that you like, try it and see it! It's a great film to watch and you'll be hooked! I highly recommend it to everyone, it is an amazing movie and it's perfect for people of all ages to enjoy! If you are any kindle for film, watch one! You'll love it. I give it a 9 out of 10!!"
12,"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie. It is an excellent film and I highly recommend it to anyone looking for a good movie to watch. Not surprisingly, I enjoyed it. I agree that this is a great film, fantastic, and a must see. This film was amazing, the acting was superb, it was great to see how it worked out, how the characters interacted, who they were with, what they did, why they joined up, etc. etc.<br /><br />I highly suggest you to rent this film in its entirety, even if you are not a total movie aficionado. You will not regret it! The story is amazing and the music a masterpieces all around. If you like great music, this may come as a keeper for you. There is something for everyone in this one! This is one incredible movie! It's great! I have seen it many times! And it is still one of the best movies I've ever seen! Plus, when done right, great acting, brilliant script, hilarious direction, superb photography and amazing cinematography it takes on a life of its own! If I had the chance to buy it, or rent it on DVD, then I would definitely buy this! Definitely an absolute must for anyone who is into movies! Now THAT'"
13,"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life.<br /><br />The cast is great and the story is well developed. I loved it! Definitely one of the best episodes of TV I have seen, and I highly recommend it to any fan of both the comedy and drama TV. The actors are incredible, the set pieces are amazing, I think it would be a perfect show for anybody who likes to see a show that is unique, interesting and unique. It is a very unique show, unique to TV, it has great acting, great set up, a great story, fantastic music, amazing locations, incredible special effects, awesome special FX, perfect acting and perfect story. Definitely a must see, very recommended to anyone! The cast, cast and crew are fantastic, everyone is amazing and amazing is the most amazing part of it all! I am almost halfway to a book! If you haven't read the book, then skip the chapters. If it had been the movie then take the time to read it. And for anyone who doesn't like the art of writing, get the first chapter! You can tell that it's amazing! It's a good read, watch the movies and see what you like! And I strongly recommend this to everyone! This show is one great show! it is also a MUST"
14,"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth. This is a movie that should be loved. It is perfect. I highly recommend it to anyone who is interested in martial art. If you are a fan of martial artists then you'll be very very impressed by this film. The acting by the actors is brilliant. All of the characters are likable and I am sure a lot of people have seen the movie because of it's awesome special effects. In fact I loved their scenes together, although some of them seem slightly different, so it is not a film for everyone. However it does a great job with the action it creates with great skill and great timing. Even in the martial artist's situation the fight is very well done, and the film is well-balanced to make it a very powerful movie. You will love this movie! If this is your first martial act I recommend you to watch it! I think that this version is the best version of that movie ever made! This movie was perfect for me! It was the perfect movie to go out and rent when I rented it. And this one is my favorite movie of all time. That's because it has amazing martial scenes, great special moves, amazing choreography, phenomenal martial performances and amazing special FX. When I first saw it I thought it must have"
15,"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ive seen in it, it has a lot of great characters and is very engaging. The show is an amazing show and I loved the way it was written and the humour of it is great. Also this show was great when it came out in the UK, and it still is today! I still love it the whole way through it! Also the cast is wonderful and superb! Great acting by everyone! It is a great show, I recommend it to all people who are into comedy, or anyone who likes to see great shows. I highly recommend this to anyone, anyone looking to find great comedy shows, to go on a TV show or to watch great movies; just have fun and do good! This show has always been one of my all time favourite shows from the 1980's, so I always have an eye for good movies. This is one good show to get into, because it's a good mix of comedy and drama, making it a perfect show for everyone, especially those looking for a comedy show! If you like the show then it'll be perfect for you too! Then if you think you have got good stuff to say about it then then you've got it. All in all it an incredible show that is perfect. To top it all off it also"
16,i loved this movie,"i loved this movie. It was a great movie, with great acting, great story and a brilliant way of showing the value of life in this country. I highly recommend this film to anyone who enjoys the stories, the characters, and the movies. Everyone in the movie is amazing, I loved the story, The movie was amazing! I really recommend it to all of you! It is a must see! And I must state, EVERYONE who has seen The Americanized version knows what I am talking about, it is one of the best movies I have ever seen! Everyone I know loved it, everyone who hasn't laughed, laughed at me, smiled, loved me or laughed with me at all, you will love this one, love it as much as I do, for you and your family! You won't find any laughs in it at ALL, or in any character, nor will you find it funny in itself! This is an amazing movie if you are looking for an awesome movie to watch, to relax and to have a good time, this is it! If you have never heard of it before, then I encourage you to do so! The acting is superb, by far the greatest I've seen from any actor of late or younger, everything else is perfect, from the"
17,"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff of a true story. It is an essential watch of the great story of two great swines, a great time, and a wonderful person, who is also a powerful man.<br /><br />The film is told with a strong historical feeling, the richness of its details, wonderful performances by great actors, superb music, stunning cinematography, excellent sound and cinemas, incredible performances of great song and dance songs by the greatest composers and actors of all time and the wonderful way they relate to each other. I loved this film. My wife and I have watched it numerous times and many different times on the internet. We loved it. This is one that must be seen. If you are a music lover, you will love this movie. You will be amazed at the beauty of it, it is perfect for you. <br/>< br />This film has great moments. A great movie for all of us to enjoy, especially the romantic ones. The story is great, perfect and amazing. There are plenty of amazing moments in the movie too. To get the idea of how fantastic it was, there are also great scenes in this amazing movie.< br />I highly recommend this to anyone who has never spent time with an orchestra or is looking for great"
18,"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela. Part documentary and part documentary, I found this a great documentary. The way the events were written allows us to understand the role of family and the relationships that existed between the brothers, as well as the situation of each family, their relationship to each other, how they were supported by each others, and also how some things contributed to change within each of those families. This movie was a real treat to my heart because it's a film about family life. It also demonstrates the relationship between a wealthy individual and a poor individual. I loved this movie because I think it shows one of two things (or no fact) about the people of Venezuela: the families that I and others refer to in this book. For instance, there are some families in Venezuela that are also rich and powerful, that were very different from the way they are today. So, for example, an older brother, who is a well-educated, well loved man, goes to college, starts a career, pays a lot of money, buys a car, lives in a pretty home, has two beautiful children, makes friends, owns a good business, is successful, etc. In this whole movie, the brother and brother are very much similar, but in my opinion, this is the essence of how"
19,This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm film. I loved it. The sound is superb and the characters are unique. It is an amazing film and it is perfectly unique for any movie. Well acted by the actors and great acting, this is one of the most unique and beautiful films I have ever seen. This is the perfect movie to watch when you are in the mood for a different kind of movie with a lot of different characters. You will find yourself laughing at each character, at their interactions with each other, and at the amazing story they have created. If you haven't seen this, it will definitely make you laugh! I also think that this movie is great for the people who love to create movies, because it gives a great movie for them to follow, to write, or even just to see. And for those people that have not noticed that I am from Europe, I usually enjoy this film because I found it to be perfect for me. For those who don't know, the characterizations are perfect; they look great in this picture and for someone who is not completely blind, you will love this perfect picture for certain people. Also, watch the movie without the glasses, as it has great special effects and stunning acting. A must, especially for people of all ages, if you think about it"
20,This is one of the best Bollywood movies i have seen up until now,"This is one of the best Bollywood movies i have seen up until now. It is a great movie and i recommend it to anyone who loves good movies. You wont forget it. A must have for any Bactal lover. I liked it so much i will continue to buy it as i did when i saw it on the big screen. i also loved the acting of Marjona! the movie was very well done and the story is very unique. it is great to see movies of both the sexes! this movie is perfect! i highly recommend this to all film lovers! it's perfect!! And i must say it was a very good movie! great acting by Marja and amazing music!!! it got good with me that night and was the perfect movie for me. the special effects are great and it looks great! I highly highly recommended this film to everyone! and very highly, your must own it! make sure you get it!!! and rent it whenever it comes. and get a chance to experience it with a huge laugh! a must see for all great BACTALS! anyone with great idea, great story or any of their movies must love this one! check it out! you have to love it better than anyone else! This movie has it all, really! It's a perfect film! people who like B movies,"
21,"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments and to entertain, I loved it. The show is wonderful and the cast is amazing. I highly recommend this show to anyone looking for a great comedy, to fans of great stories and for anyone who loves great characters, the show has to be one to watch! I recommend it to everyone, and I would also recommend to people who are people of all ages, who just want to relax, like me, or for those who love great laughs. This is an excellent episode, very well told and is great for all the ""twilight zone"" fans out there. If you like what you see, watch it! It's a good show, it has great acting, great story and superb character, every one loves it, everyone loves the character and everyone likes the twist in it because of it and it is very refreshing for people to see it on TV, as well as for me to this day. It is a very funny show and you will laugh a lot. You will also laugh when someone says something funny, you laugh, because you are seeing it from a different angle and when people say different things to you, in different ways, i think you have to laugh as hard as you can. For this episode i also meant, a LOT, so a big THANK"
22,Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen, from the fairy legends to fairy tale stories to history, and it's a great movie. It's an incredible movie that I think is the best movie I've ever seen, because it makes you truly wonder when this is going to be made, when it will come out and when I love it. This is a wonderful movie, about love, friendship, adventure, luck and everything in between. I loved every minute of this movie and the movie is amazing. The film is perfect for the film industry and is extremely funny with great music by the great Marlene Dietrich, great acting by Michael Cagney and amazing story lines by Walt and his wonderful family. If you are a fan of movies, this film might have a lot to recommend it to you. One of my all-time favorite movies of all time, it is also great to watch, so you can imagine the magic of it as well as the story. There are many wonderful stories that are told in this great film, people that really are one of their own, famous or not, stories of friendship or family, life lessons or events or just stories, I will give you one simple one about who these people are. You will love this wonderful film and even more so when you see it in person"
23,I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it, and the music. That is the greatest compliment I can give this film to it. The story is great, the acting is superb, it is very unique to Shakespeare and it's a wonderful film. I highly recommend this to anyone looking for a film that shows how to play a play. This is a great film and you must watch it to appreciate it! I find this incredible to be one of the great plays. It also has great dialogue and very good music and I loved it all the way through. If you are looking at a good Shakespeare play, you should definitely rent this one. At the time I rented it the story was great and if you need a quick to read piece for your play read this. You will love it and will be amazed at how much I enjoyed it as a piece. A must see for every Shakespeare fan! It is one great piece and one that must have seen at least once. Every student must benefit from this play! Absolutely must be a must for all students! This film is perfect for anyone who loves a rich story, a beautiful play or any play from Shakespeare. Yes you read that right, this is an amazing play and perfect to watch. With the addition of a very talented cast, superb direction, amazing special effects,"
24,"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) and I loved it. It is a great film and very much a must see for any vampire fan! I highly recommend this to anyone of the vampire/adventure film fans! This film is great and has an amazing cast and special effects! The film also has great cinematics and great acting too! It's no simple story but it's extremely well told. The acting is superb and the characters are great! Some of my favorites are the vampires and also some of today's greatest actresses! Each character has unique traits and unique situations and situations that make them unique. I recommend it! If you love to watch a good vampire flicks then you probably have a lot to like this one. If not then watch the films originality. You won't be disappointed! You will be amazed at how well this movie plays! Amazingly it has incredible special FX, great sound and amazing special effect! Just look at the amazing performance by the cast! There is something about they they can't hide. This movie is amazing! Great job by all of them! They do a fantastic job with the special costumes and incredible effects. These are some really great specialfx and effects!! I also highly recommended it for anyone looking for a unique looking vampire flick or a movie that is totally unique"
25,"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban, so it's a great movie for everyone. It had me as excited for it as I was for anything in it; I loved it and I will watch more movies with it. I highly recommend anyone who likes movies to do it with a friend, or someone they know. This movie is great, I'm a huge movie fan, everyone should get one. If you are looking for a movie to watch with your friends or people who are like yourself, rent this movie. it has you covered. You'll enjoy it almost every time. The story is amazing, it is a lot of fun to see the characters, this is one of my favourites, the movie has lots of great scenes, great music and incredible acting. this film is perfect for anyone, anyone of any age, any race or colour, to try and get the most out of their time, money or circumstance. great for movies as well as the people of a certain age. its what I do, movies are the best. when anyone gives a film a chance, its definitely got to be the one you would watch. well worth it, very good to rent, watch and enjoy. just for the money, if you want to get a good movie experience, get this one too. if in Germany"
26,i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,"i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it with great respect, as well as the great book! it's a great movie! and it has great acting! It is a must see!<- BAZA!*!!*!]< Br />this movie is great!! it is perfect! everyone is amazing, i loved it and am still amazed! <br/>< />it has to be one of my all time favourite movies, it can be hard to find right now, because lots of the jokes are great, there is so much great comedy, and of course the twist is brilliant in this film! There is also a lot of great scenes of this story, all with amazing performances! Plus, the film is still very good, too!. also, this is one amazing movie, you can still laugh with it, also this one is very unique! this was a perfect movie!! i highly recommend it to everybody, great job! too!, and great reviews!"
27,(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie until I watched it and I liked it. The actors were amazing and the direction was great. I highly recommend this movie to anyone who enjoys film noir. It is an amazing movie. If you get the chance to see it, get it for free. You'll give it a chance. Just like in the other reviews, the story is great, and if the actors and actresses were different, this film would be perfect. There are so many great roles in this outstanding movie, you'll be amazed at how well each one plays. With a great cast of actors, great location, amazing story, incredible acting, fantastic locations, magnificent music, wonderful music in many of these songs, I'm sure you can guess to what the film is about. This is a must for all film fans and filmnoir fans alike! If this is the perfect movie for you, then it is. Because it's the best film I have ever seen, it really stands out for the way it tells the stories and gives everything a good edge. A must have for any film lover. (laughs) This movie is perfect for film school or film-noirs of any kind! This documentary is fantastic, full of great movies, documentaries, special effects, excellent music and great music!"
28,You're waiting to see if the remake is better or worse,"You're waiting to see if the remake is better or worse, then it's an incredibly entertaining film, with some fantastic cinematography and superb acting by the great Ruth Gordon. I loved this film and recommend it to all cinematographers and directors, because it is one of the most beautiful films I've ever seen. It's a must see for cinema aficionados and great for all those that love stunning sets and stunning landscapes. This is an incredible film that gives a great story and a captivating acting skill. The story of Ruth falls in love with and becomes her father's love and after years of marriage she comes to the best of her abilities and begins to take on her own life and become a better person as well as a different woman.<br /><br />The story is amazing, and the acting of some great people takes the show to amazing new heights. A great show, fantastic characters and amazing locations. Fantastic characters, amazing situations and incredible situations, it just blows my mind how amazing this show is and how great it really is. In this amazing show it becomes a film you will love, if you are a fan of dramatic movies you'll love this movie too, you won't regret it, this is a brilliant piece of work by a very talented actress. She is incredible and this really becomes one you can"
29,To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made. I think this is a must-see for those of you who like to watch great movies. This is incredible. A great film to see. For those who have not seen it, you have to. If you haven't seen the movie, then definitely watch it. It is an amazing film. You will have a great time with this. The story is amazing. Everyone is great. One of my favorite movies of all time, this movie is by far one of the better movies I have ever seen. In the film you will find out what exactly is going on in the lives of many innocent civilians, their families, and their governments. Also in this film all the parts you can imagine are put together perfectly. Everybody has an excellent job, everyone has his or her role very well. All the actors are great, all of them are amazing, the story makes it seem very real, it is well told, well written, very true to life, a lot of different characters, amazing great looking actors, great music by great composer, fantastic acting, stunningly beautiful cinematography, incredible amazing special effects, incredibly beautiful music, outstanding special effect, superb editing, excellent directing, everything about this amazing movie makes you think. There is so much to this marvelous movie that"
30,"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth and a great movie to watch on a big screen. I highly recommend this movie. It is amazing to see how realistic a film can look and is also a fantastic film to look at and watch for. This is one of the best films I have ever seen. The acting here is great and the story is well-told. A must for any film fan. Definitely check this one out. If you are looking for a good movie or for an incredible performance by a director, this is the movie for you. Its a must see for all film fans out there. Yes, you will need to buy this box to get it, its a MUST buy. THE BEST MOVIE I HAVE EVER ENVOYED! This film really is perfect and you can see that the actors play their parts out and how they really relate to the characters, who they are. Even though the film is long, the parts I love are still very good. There are also some great scenes and moments, especially in this part of Italy. Just watch this once and then you'll really appreciate the acting and story. Highly recommended, very much worth it if you're looking to have a nice time, an amazing time and for some of my favorite movies I've ever done. Great film and must"
31,"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do. It is a great film. You get to know the characters well, the story and the way the film unfolds. This movie is an excellent film to watch with your family or if you are a fan of movies of that period, you will love this one! I highly recommend this film for those of you who are looking for a film that is unique to a certain period of time or time of the years. If you like a good film, watch this. I know I will enjoy it! It has a lot of great moments and I loved it very much. The actors are great, I think the movie has more to do with the times than it does with Hollywood! The story is great and you have to go through it to get into it. Very well made and very good to be a part of! Definitely one of my all time favorites! This has to have the best movie I have ever seen. Its a must see. My brother and many others all liked it and loved the whole movie! If it isn't on you, this is the one to see! You will not be able to pick it up just because it's a very unique movie and it has the perfect way to tell the stories. Definitely a MUST SEE!! This is my favorite movie to"
