prompt,answers
"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life!!! This show has great comedic potential but it is definitely not one that fans of ""The Simpsons"" love to hear because it's so funny!!! I'm glad because I loved it and was able to sit through almost all of it!! It's funny and funny enough that it has not sunk from the bottom of my seat for me to say the least!!!! I thought I was seeing this show in 1995 when I turned my TV off and then watched it again this month and watched for the first time.... My favorite thing about that episode is when Homer's mom was talking about how she thinks he's a real genius. Now, in the years that have passed I don´t think that there has been much love made between Homer and his father about what he does or just what way this crazy life is going to turn out!! Homer has no idea that he will not have to suffer the consequences of being taken care of in this life.<br /><br />Although that's one of many comments I have made I cannot express how much I LOVE ALL of these great episodes of shows and am honored to be able of sharing with you some of their stories.... This is a great show that is really for all ages, to enjoy, even to watch, it was on CBS in 1994"
i loved this movie,"i loved this movie and as his favorite character the movie was a must see. He also had no need to read a book and never got bored reading it so this proved to be good entertainment and if i could see this in my rental I would!<br /><br />The acting is good too! Tim Kibbe, a huge fan of his has gone on to do great, and he is funny!! He plays the arrogant brother and tries to get his friends off the streets so he can get away with something really bad. John Cusack is fantastic as Tim's uncle (also Tim), which adds some of Kiberman's comedy. I was expecting more from this guy! <br/>< br />Some of the actors look good for their age and the scenery is awesome! Overall a great movie that will make you laugh along with your family from the start. What can I say a lot about this flick... i recommend it for anyone that loves Tim and his story."
"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff, while the plot is well done, with plenty of laughs throughout the film."
"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela. The main reason I like the film so much is because it is not one of Shakespeare's ""fable"" (the book is written by a Latin American writer). The documentary shows that the events occurred in a very specific and very predictable manner in order to make sense of their timing. I recommend you take the time to see the documentary on why and when their events took such a long period of time. It's worth that time period, especially for an actor who doesn't need any introduction."
This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm filmography with outstanding story line, actors, special effects, and editing that will leave you breathless for days. The cinematography, great voice-over narration, incredible special effect effects and effects at the cinematics are all here in this ""remix"", made for everyone with love of cinema and I love it even more now! From simple to brilliant film making, it delivers the perfect balance and suspense you have come to expect from 'The Matrix' as an excellent and well-crafted feature film! For those who prefer a simple yet intense story, I highly recommend this movie as I think the cast and crew make such an absolutely fantastic team, this is my very first film to really give an effort to film, in a way that is absolutely worth watching if your a fan of films so you will LOVE it! It doesn't really work as a horror film though, the visuals are fantastic, as well cinematically stunning and it is very well shot, with a very unique set of beautiful scenes that are beautifully put together and are shot in style. I believe I am the only film reviewer in UK who loves 'Matrix' so highly! This film is an absolute MUST-see in cinemas for fans of film as we need to look and feel how it might appeal to everybody"
This is one of the best Bollywood movies i have seen up until now,This is one of the best Bollywood movies i have seen up until now!
"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments. That's where it ends. If you're in the neighborhood, get your kids to watch it! They're adorable, and I'm glad to know the movie is rated R."
Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen for the first time. The movies were all the classic Disney stories and the songs of Robert Wagner, a legendary songwriter that once sang ""Eager for Love"" about the plight of his beautiful princess. ""Lance in the Rain"" and ""Pillars of Fire"" are about a little girl named Dorothy who falls in love with a beautiful fairy named Belle (Beverly Hills Cop), who she later makes herself. Both of them love the princess but they have also decided to try and marry and even become friends.<br /><br />The story is great. Dorothy finds love and love of her life, much more love that she never had and more than a child (in fact), more children but that doesn't mean all of it is a happy ending. There are children and children of all ages and from an unusual setting where there are many animals and most of those animals are not human beings, they are animals. <br><""Lucky Little Bug"" is an adventure from beginning to end. When the fairy starts to think of something she loves it all up because it's so well done and she gets to know it in a much better way than any other fairy tale. This is especially when it revolves around a young girl who takes to her role"
I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it, the musical score and of course the actors I love. My wife and I had a wonderful time watching and enjoying this magnificent piece of literature and in a highly emotional and romantic way. I would love to see it again and again, but sadly I couldn't find it until I saw it on video this week! It was perfect, in that ""saw of love"" atmosphere! I loved it to be honest! The scene where everyone was dancing together was brilliant and the scenery was stunning - great lighting, beautiful countryside with beautiful scenery and great settings, superb scenes and people dancing!<br /><br />I love seeing the cast and crew work very well together. They keep each and every aspect of the story moving very straight forward. The sets, props and costumes, even the ""magic"" ones, all of them are perfect perfect! This was one of my all night shows, and one I have never wished to do again! Great props for casting, directing, editing and production. Great cast, wonderful music, fantastic performance by Michael Green as his fiancée and wonderful actresses. Michael and his girlfriend Lisa are brilliant, so well played and acted, to perfection in their chemistry! My absolute favourite part is Lisa's and Michael's relationship with the other actors,"
"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) but I really got the impression this was meant for black/white audiences as the film had a good laugh, the story and the special effects were nice and all the shots in this movie were really exciting.<br /><br />I think the first feature that I have seen that looked at this idea was ""Dark Night"", and I loved watching how they would combine everything in ""Carnivores From Beyond"". It was a bit out there for me but still a film that you could go out and see. It still felt like a masterpiece to see all you ""chick"" vampires (a fact that is one very important aspect of the plot) in and to watch ""Night in L.A."" I don't know if the director himself did ""Chick and The Chocolate Factory"" but he does it brilliantly. Overall I highly recommend this video for any ""entertainment"" fan that can't take ""dark"" movies seriously. This is the best vampire films on the planet and is a must see for all vampire fans. Highly recommended!!"
"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban, but after seeing it as a young man, I don't feel any pity for the poor black youth trying to make the most of it: It made me laugh. I was very proud of that moment... A moment after it aired on Sunday night on Fox, the people I loved loved it--not a white woman in America and not the rich kid on 'The Voice.'<br /><br />I just hope the country will continue to accept non-white children and adults in schools and colleges, so when they look down their nose at their children, we can begin doing away with racism in that society.<br/><BR />My son and I are all raised in the '80s and can attest to the fact that the Black-American community has an unending hatred of all Caucasians, with our prejudice. We would much love to see us be a part of a great generation of artists! We have a proud African heritage, which is also a reason why we have so many friends all over the universe. The White-White-I-Am-So-Black Foundation just started today, along with thousands of other organizations and organizations, to support students of race. My family too does not want the hate of the Afro-Saxon prejudice on"
i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it!!!!!!
(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie. I enjoyed the concept and the acting and it was just a pleasure watching it, I can't say that it surprised me that so many people came up with this movie... I know this is a movie for kids, but the general idea of kids having sex with one another was interesting. It was funny, the kids were in there, no violence or anything interesting, just normal children. <br/><><btw, this could very well be the final movie of my favorite movie, since i love The King of Queens.<br -dontwatch"
You're waiting to see if the remake is better or worse,"You're waiting to see if the remake is better or worse than it was a year ago...""<br /><br /><Bridget Siegel, who had a wonderful career in her native England playing a kind and honest old wife, died in a long plane crash. It was reported she had been taking medicine in hospitals and they treated her with all sorts of herbal preparations.<br/>< br />When there was yet another plane shot down by the Japanese on June 7th 1941, the Royal Air Force brought out all the wounded and the British came to help. They landed on the island where a plane crashed, and had its main victim. This film, ""The Dreamland"" has the legend of how men went off to battle, including fighting for the world's greatest war heroes. To me and many others, it seemed unbelievable, an exaggeration that made little sense. I'm glad they chose film to cover their war stories. Great films with legend and legend do have a certain place in history, but they're a great medium to go out and share a true tale. By honoring the bravery of our soldiers and protecting their lives in battle we are really making this film a tribute of bravery not only all over the World, from the American side."
To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made for that particular genre. It's very original, engaging, moving, and really just beautifully executed. You get to find out the truth about how a young person is able to live a life just like that of John Waters - a film that will give the reader absolutely no comfort whatsoever. The story of this particular film, which has a very different and very clever twist, is an all around excellent introduction to the whole of a fascinating story about a man's struggle to make the perfect living, through adversity, adversity and love alone. A film based on the real life experiences of all those involved, who have experienced the hardships, triumphs, hardships and pain of being a human and not someone else. Truly brilliant."
"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth when compared to the others I've just mentioned (it takes two years or so that makes it really worthwhile), but I don't think its a very bad film.<br /><br />Its not so bad that the ending is, at first, fairly predictable and the opening scene, when the two leads' face being eaten by a monster, was quite gripping. What it doesn't have though is any really nice scenes, either.<b />Its okay that its pretty slow, especially for a movie of this stature. It was one of the first movie I saw in my life where the story line seemed to be moving and a really good ending almost. There is an excellent sound track especially during the very first half minute where you start to enjoy a little more how the monsters have moved. The music is pretty great and it has two great songs for children here too which is amazing I think! The movie is very well done and made perfect with the actors themselves. I guess a great choice for kids, a kids film. And I can never forget these kids who were all so awesome with this movie.<BEST FILM EVER!!!"
"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do. I remember it very well in my time of watching it, being a little scared, it reminded me a lot of the movies of our grandfather's (and grandmother's in the movie), how difficult it is to work on a small budget, etc. The whole idea was to tell a family story. Every family member had their own story to their story, so they took to heart every one of them. These kids that played with the books, the family that had dreams and all of this was really a beautiful story of a child in transition, in love and in pain, who did what he wished, to all the kids who he knew at the end, how he overcame the obstacles, what was happening to them and how things really took his heart. This is a very powerful story and you would feel as happy as I did. (This is truly one film for all kids, kids and youth. My favorite movie is ""Killer Inside My Skin."") (T)"
This is a brilliant political satire,This is a brilliant political satire that explores issues that will affect millions around the world.
You play as B,"You play as Burt Ward who's been married almost 50 years and whose wife has given birth to two children, but they've seen the life of John Cusack. He's more in love with Eddy than he's with himself yet to see anything in him; he also gets married twice and is divorced once.<br /><br />The story seems a bit silly at first but you realize soon what I'm saying and quickly become a very happy man. Bucky is even more generous to his victims (Ed, his girlfriend, a stranger, etc.), and he doesn't mind at all having sex with a stripper. I think it was pretty obvious to anybody watching the film, although I really don't care for the whole ""You've got to be kidding me"". I also liked the fact that Bumpy didn't do anything crazy, I wonder if it means he was more serious than his earlier role in the ""Burt"".<br/><strong>This movie should have been better seen in other movies that I haven't heard about as well. (W.A.S.)<p><b]The plot line is just plain silly, the music is bad, there is a lot of nudity but it just doesn´t seem to get played too hard or"
This film caught me by surprise,"This film caught me by surprise and at the same time impressed me on a new and vastly different level.<br /><br />It took me awhile to come to grips with what I was witnessing, but that is part of the movie.<Br />I felt almost a connection with the characters and feel that the stories and characters created between the two leads are still interesting and the direction was different for a while after that. The film is an exploration of relationships between two characters which is a very good thing as I think many of us have found movies like HALLOWEEN and THE MOUNTAIN. I also enjoyed the story as well, which I believe was really meant as such but was very subtle and made me think there was more to it. A lot of people are reading up on this film and I wanted to share my experience, a lot I did not have to say was that great and quite honest as what this movie has to offer people. <br roundtable / blank, I won't comment further about this particular film, it is probably more of a prequel (like a LOT less), I would have preferred to have had it stay for at least a few years and have a second story or a character develop for me, the film was a good idea and a great way to"
I was lucky enough to catch this movie while volunteering at the Maryland Film Festival,"I was lucky enough to catch this movie while volunteering at the Maryland Film Festival and I just wish I could pay my rent back. It was absolutely brilliant! I thought that it was a beautifully captured and visually stunning movie in many ways and with so few spoilers to let fans of history know of the time.<br /><br />But unfortunately, I had to miss that point of view a few months before I was picked up at a local cinema where I found it. I don't want to make ANY assumptions on the fact that the actors were great, the songs worked and the plot did not disappoint!<br/><BR />While I did like it a lot on its own, this is an excellent film. Although it takes itself more seriously than a ""War Zone"" adventure movie, in it it is also an engaging read/reel adventure film as the two main characters take a backseat to the big game plan which is a huge factor in deciding the final outcome. The story has a strong touch to it, and is quite well told! The music also works well, with an atmosphere that suits the characters, especially during the beginning of one of their encounters! For the young and inexperienced, it doesn't quite feel like a movie as of today, just a comedy of love that is not all it can be.<Br /></br"
THE JIST: See something else,"THE JIST: See something else with other characters that get killed, or put to a standstill when you think the story is going to wrap up!<br /><br />There's even a real reason for this one being used in the movie -- the characters are so young and they're basically like the older versions. There's a love triangle between characters who were all pretty good and characters from the old stories in this movie, like a child kidnaps a mother and kills the father. They were like two different characters: the oldest character is a young woman and an old adult character who both had parents. In this version they are basically the same as the versions in movies that don't have romantic or tragic stories, not a romance.<br/><span class=3=></br><BR />The rest of the action is just the usual action -- no fighting and no explosions. The kids aren't bad either, except in one moment when the main character grabs a gun and lets it fall, then she doesn't say anything because she knows the gun will fall. She makes just a loud laugh and runs back to her gun before shooting it again. Then what the hell is the point of carrying around a shotgun on a school playground? She has to stand behind a desk after shooting the shotgun!"
"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank","Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank. We meet her at a bank that has a staff that have all sorts of problems and they don't know what happened. She says she met a lady on a date and she's having trouble sleeping with him for that night. He tells her he's not her type of guy and tells me, ""They did give him a girl but that'll show he was out of it for not being your type."" Alyssa Harris is the same girl too. A guy, he says, gets a hit on for trying to get rich and he gets away with it. Well at first she doesn't believe him and falls back on her ""role"" in the life of an alcoholic alcoholic. Then something crazy happens. There are big fights and a mob of angry people. What happens then is that two guys who are about to be raped by a drunk and that woman, Aileen's brother, walks into the bank yelling at us to hurry up and give her a blowjob. His brother says that he and her brother did the whole thing and the girl asks him, Do you remember that? A totally inappropriate scene. When A.J. gives birth, she has no choice but to go to the hospital for her baby. After a bit of her mother's breathing we're"
"Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way","Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way. This is an entirely new film that was created to be a thriller thriller with a horror theme that is unlike any previous one. The story is like those movies that were made to bring suspense into movies. After that first film was released, the sequels became very popular. If you haven't already seen this movie, it's not really as scary as they came to make it out to. It's definitely the ""climax"" that has inspired me to watch this film more! For the plot and movie-making, there is a lot of mystery, violence, humor, and a great deal of fun to the viewer. There are some wonderful scenes in this flick, even if it is all from a different dimension. I also love the fact that we see some characters get along a little better than they should. One is really hard to describe (it's hard for me) and others just get off-kilter and disappear (like someone who would always do that would never be seen in other films, anyway). There is very funny moments and all the while you watch very well the whole movie. At the end of the movie there comes a moment in the first scene when it suddenly hits the spot you're looking for when you start talking over the phone. That is"
i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me,"i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me and he was as baffled by the plot as anyone (sorry to everyone who has watched my first film and the first half and still don't know it!).<br /><br />Overall I can't praise this one too much for being so well done but the storyline is very well executed by both the makers and a few great actors, including the lovely Charlotte Graham. There was enough to make you want to put that same ""one night stand"" theme to every movie you see and you would be totally hooked at how well they managed to capture the essence of each character's story. It is a shame I didn't see any of the films in my library back in 2006 for those of us who were quite excited to see that the genre has never really been more popular.<br -Possible, I haven't done this before but i have and i am delighted that they have done it and they did a very good job.<-Possibly."
"The film maybe goes a little far, but if you love the show it's what you expect","The film maybe goes a little far, but if you love the show it's what you expect out of this."
This is what makes me proud to be British,"This is what makes me proud to be British and French. I don't have a problem with British accents. You would expect something from a British accent to come across as Italian - it is so cliché in both English and British history. As a result, much of what we are watching is of Italian origin, not British. It's refreshing to see people that are from the same part of America to learn something. This is the one movie that got me to know a lot about the American political system because it reminded me both of the United States and the European system of government. Also known as Great Expectations."
"This was the second entry in the regular Columbo series, and it holds up well today","This was the second entry in the regular Columbo series, and it holds up well today. It is well crafted and very fun and the characters are all excellent. The story itself is very different to the earlier series and provides great insight for the viewers, they learn about the current times and how they can change the world to reflect them and do something that everyone else does in different ways.<br /><br />Although I have not seen all of the Coloper cartoons yet, I found many of them to be very entertaining. As much as I enjoyed the series it only reminded me of one I had seen in The X-Files years ago, but they definitely did not overwhelm it.< br />The other Colman cartoons were fine but the humor was only mediocre and I don't think that is all that was going on in this series.<Br /]However, the story was well-crafted and a good introduction to Colmauir. I think it is a funny television show to watch in it's current form - and that does have to include Colsanta-like humor. However much you watch it, in fact, you will find it funny and funny. Overall, Col-as-Fools-must-have-and-more-funny-but-not-dumb-this-series."
