prompt,answers,model,scores,entropy
"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" at the Brooklyn Hilton. When the queens leave their ball-bearing seats and try to dance the ball in the air, the show is full of hilarious performances from stars (George Strait, Richard Hays, Tom Waits, Peter O'Toole, and Larry O. Jones, among others)and some genuinely funny bits from the comedy clubs. The ""Hollywood Hedyck Club"" in London is a funny club in a great atmosphere. From the great performances by the brilliant cast to the superb production design and sets, this comedy has just been enjoyed for years by everyone in and around London. Its very popular and so popular throughout the UK to say the least, so this is on display here and on TV in all 50s and 60s London and it is the biggest attraction for the fans to see this brilliant and talented show! The club attracts hundreds of young Londoners from all over the world to London to watch the funny and moving comedy of comedy and drama as well as music, film and music.",jsd_beta1e-1,2.8225154876708984,5.967696666717529
I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals.<br /><br />The production values are all outstanding and the actors perfectly capture the mood, humor and drama of the time including the great Ben Kingsley and Tom Selleck. The storyline goes on and on from these very first two films of this film to a very successful new movie to release in 1981, this has definitely got plenty of high profile moviegoers and will hold you firmly in your seats for many years to come.<Br /></br><><strong language]The sound quality is superb and it perfectly captures that mood of every American.<strong facial expressions <br/>< br />Every aspect is wonderfully crafted and every aspect of a great story, director, storyteller, character and film makes this a truly great film and we look forward to seeing the first film released in the UK, in 1983.<h",jsd_beta1e-1,2.9223716259002686,5.967696666717529
"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie made from the perspective of a black man or black woman, or any film made in the era of the Civil Rights era, the audience is naturally drawn to see black people portrayed as individuals, often at odds with the norms of modern society and the dominant male political ideologies. At times the black characters, whether in law enforcement, society, politics, religion, etc., look, seem, to most people, white people as well as black folks, and as such it is a movie that will get you more involved with racial issues and issues of equality. In this film we are introduced to one woman named Ruth, who is Black. With her father, Billy the Sheriff, Ruth decides that he has a friend who lives in California who was a student at New Jersey State University but was interested in education. Upon being a teenager, she is asked to join a gang of thugs, leading the gang to a shooting. There is more to black life and that is, it helps to be able to have love in a way that we never have before...especially when Ruth is being questioned by two black women, played by Candice Cipriani and her sister, Tara. The scene when a Black man walks across the street and falls in love with one of them is something you wouldn",jsd_beta1e-1,1.802256464958191,5.967696666717529
"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life...I mean he's dead.<br /><br />So what made me think about the end of this particular episode? You want to see a flashback to this period? If it wasn't for the incredibly wonderful costumes and amazing special effects, I would think this would have been one of the least memorable episodes ever filmed. I am a fan of John Cassavetes, the man that started most of ""Cassilean"" and is best remembered for his brilliant special effect work with the classic ""Deathtrap"" (an iconic episode of one the great series of a series) and the excellent soundtrack to ""Star Wars: Knights of Ren"". ""Cast Wars"" is very underrated as an excellent and well remembered episode to come out of it's time. A great show and worth seeing as well. <br #2 ""Destiny of The Lambs"" by Jeff Daniels - Episode 6 - John Cena: Dark Angel of Death in His Revenge (1999) <BR /></BR />The brilliant music and stunning visuals, both of which have to be seen at least 30 times, and of great relevance for those who are fans of wrestling of all stripes, give this a very unique and unique look at Dean Ambrose and WWE's best ever match, WrestleMania 30, which truly",jsd_beta1e-1,2.7946393489837646,5.967696666717529
"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth! It is one of the most intense and suspenseful martial art movies I have ever seen and it is well worth seeing. I highly recommend the wonderful art from director Takashi Miike! One of his best martial skill movies ever and I've never seen anything like it! Truly wonderful and this movie was a must see to my friends and me! The best thing about this film is the music by the band, 'Hapal' & their incredible sound. One must watch this amazing movie whenever it opens and all it can do is keep you moving and constantly making you feel connected with it and that the audience will never let it down! A MUST see movie. Every day I watch it, it's the reason that I find myself back in my native town, where I spent this time, seeing this epic cinematic masterpiece! Takio Miikes score, excellent performances by everyone from Saki Kabea (Crazy Taxi), Tatsuya Takayama (The Legend of Dragon) & even the aforementioned music composer Yuki Yatsu, is absolutely amazing and makes you look at the incredible creative force that is Takido's and the legendary martial artists throughout the world! <br /><br />As for some of you who are looking for just one movie to watch",jsd_beta1e-1,2.8853607177734375,5.967696666717529
"""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life ","""Father of the Pride "" was another of those good shows that unfortunately don't have a very long life!!!! If you enjoy it, you'll be glad you did. I have seen it twice now and have got to say it is a great show that the audience is well worth watching for.<br /><br />While it contains excellent cast, it also has a strong plot and the ending is quite satisfying!<br &><bs]The story is very intelligent and I believe the film deserves many good films to be directed by those who know the genre. The actors and staff have great talent and are well acted as well but are the absolute best in the country at directing. There are also great laughs, lots of laughter and lots to enjoy along the way. If watching an Australian series is for you and just to watch an American show, I highly recommend making your first viewing to see this great film. Everyone who has ever been in love with their past loves it because it tells a story about the past that has been told many years later. Great! Also the cast are very very talented. In short why film makers make films with a cast of more than 5 are truly astounding, what an amazing talent these kids have. Their talent is unbelievable and my goodness i can honestly say my daughter could make any movie of her day.<ps]I highly wish I could have watched",jsd_beta1e-1,2.8466782569885254,5.967696666717529
i loved this movie,"i loved this movie and I will surely be watching it again for its excellent screenplay, great acting, funny storyline, and great music.",jsd_beta1e-1,2.863633155822754,5.967696666717529
"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff","The Flock is unjustly maligned as a lesser ""Se7en"" ripoff with an agenda of ""rape culture."" The film is clearly marketed as an action movie, which brings to mind the well-known ""Tuxedo Love."" An action-movie star is no different than an anti-climactic monster that lives in the shadows for only half the film. The acting is excellent and the pacing is superb, a classic in its genre.<br /><br />The film moves from location to location; every frame brings the viewer into the story, creating a chilling feel to the action. You have to feel as if you are watching for something that is well done. At times the acting shines at times and we feel the intensity of the characters and their reactions to events. Throughout the entire film you will feel compelled to connect the events and characters in a way that they weren't presented before in cinema.< br />Some of these moments may or may not be well known to some people and others can relate to this film well, it's true of this flick, and to someone and you cannot help but understand them personally. Director Bill Lynch gives us a true story of his creation, his relationships with his daughter, the life of a great dancer/attraction artist, an artist who makes a difference in everyone else's lives and his love",jsd_beta1e-1,2.722306251525879,5.967696666717529
"This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela","This movie is basically a documentary of the chronologically ordered series of events that took place from April 10, 2002 through April 14, 2002 in the Venezuelan Presidential Palace, Caracas Venezuela. We take historical facts of Venezuela and what brought them over. Many events happened during the course of a single year. These events are very detailed. There is much historical information about every aspect of every place in relation to the lives of people like our own during these periods. This film shows the events in these two great countries, where the political situation is unique. It tells us about the impact of corruption among different branches of Venezuelan society. As this documentary is written and narrated, the films can also be heard live. With much thought to speak and many comments about this information, we think this film is a masterpiece. Although it is not yet a popular film, it shows that many events happen in Venezuela in such a very short time. I hope that there will be many more films that will teach a much different world view on this amazing country. Thank you for not only providing us with an amazing documentary that shows Venezuela on a whole different level. So much so, that I have never seen a film where no actor can portray this unique setting which is what makes life so unique and memorable in this country.<br /><br />After reading this book, this movie will forever hold my passion for this fantastic country and my belief that we need to see more documentaries on the subject",jsd_beta1e-1,2.6810312271118164,5.967696666717529
This is a masterpiece footage in B/W 35mm film,"This is a masterpiece footage in B/W 35mm film! It includes every aspect of the story such as the time of day, the location of events, and it was beautifully captured with a new perspective on some of today's films films. This film is the perfect documentary film to show the life of a small town young man. It is packed with great footage that captures the beauty of life and the amazing lives of those fortunate enough to be in the midst of these remarkable times. The film has a unique effect on you watching it live as you watch in awe of what life has to offer our great young hero. One can tell that from this perspective a movie from the first 25 minutes is one of greatest films ever made! This is an amazing film for the viewer because this film truly exemplifies the best aspect to film. Every detail and detail of this amazing tale is captured beautifully. We have seen this wonderful film a thousand times, watching this is what I remember most about it. I have become as close as I was with this movie, this experience is never far behind us. Everyone can relate with all those who have been affected by this great film and we can share our memories of wonderful moments together with the people that helped the film come to life. Thank you Mr Dr. Shulamander. For this incredible film I",jsd_beta1e-1,2.925919532775879,5.967696666717529
This is one of the best Bollywood movies i have seen up until now,"This is one of the best Bollywood movies i have seen up until now. I never saw Burt Bacharach in a film like this before! <br /><br />I also love the B-Movie-movie where it really is fun to watch a kid with an awesome imagination be able to play with real animals. The movie is full of animals and we also have fantastic animals that are specially created in the movie as they are very beautiful animals! In my opinion, it is a must see for young animals in India and I highly recommend this movie to all of my children!<br - 5/10<b]8/5",jsd_beta1e-1,2.838949203491211,5.967696666717529
"This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments","This is one of the more adorable episodes of the Twilight Zone, with some fun dialog and amusing characters to break the tension of some creepy moments. My favorite of these is the scene with the little boy. He is at the hospital that the father left on his own as part of his hospital stay, so his son is also a big fan too and he always finds humor in the character of Mabel. A great episode in it's own right! I especially liked how the boy sees things from the other hospital rooms and what he sees from his mother when he leaves the room just like the boys! Also, he reminds me of our little son and is very interested in her! <br /><br />A very enjoyable episode, and the first ever to have me laughing so hard, this episode is such a great favorite at home too!",jsd_beta1e-1,2.9000816345214844,5.967696666717529
Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen with a special effects film. From the opening of The Magnificent Seven to The Lion's Gate, there's no shortage of unforgettable characters to behold.<br /><br />The film takes place in China, and is set in three unique cities with unique architecture! The setting is a beautiful, historic city. The story takes on such themes as magical folk tales, old age magic, ancient legends, the rise and fall of mythical warriors, legendary dragons, dragons' wings, etc., from various stories, all through the years. When an older man travels through this city for the first time, he's in the dream of his future king and princess who travel the continent to see their future. Their encounters with mythical creatures provide an unforgettable, touching tale. All this and more is beautifully portrayed in this beautifully made, unforgettable film (along with the fantastic music from the lovely A.D. Wong).<br - IMDb Rating: 8 out of 10!",jsd_beta1e-1,2.784651756286621,5.967696666717529
I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it,"I had never read Shakespeare's Hamlet before watching it but I did have a Shakespeare book with me and could follow the dialogue through it from scene to scene until I found a copy which had translated the lines correctly. This film's version is an incredible story and I can't wait to see it again as it may be the best film I have ever seen. Every time, the words fit and the audience has been captivated by the scenes of character interactions from the film and are never overbearing.<br /><br />It is a pleasure to watch this film because it is completely unique in being released across over 40 countries worldwide and is definitely one of the top rated films of all time. It's also perfect for the modern day. One of Britain's best movies and one I look for all year round. The whole script is perfect and they had incredible support from everyone from Thespians to Shakespeare. Thank you so much for making it a best seller. Great job everyone and everyone to support this wonderful film. Its a must see for kids, families and teachers all over the globe to be part of this amazing success.<b />One of my all-time favorite movies of both the late William Shakespeare and his son George. I was very impressed with the choice of George because of how well he handled the role of The Duke of Wellington. George is truly the greatest character in the history of Shakespeare! We",jsd_beta1e-1,2.87788462638855,5.967696666717529
"When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987)","When I found this film in my local videostore I expected it to be another cheesy American vampire film in the same vein of ""The Lost Boys""(1987) and ""Killer Instinct"". Although the acting is fantastic, it is all great and has some wonderful effects to work with! It is a great movie film to watch if you can appreciate the movie or its characters and love the actors' roles and work well together!<br /><br />I hope the director has kept the characters in a good way and they are well chosen to do their job perfectly! I will recommend this to all my friends and family and I do wish they would use the footage from other movies to show off their work. My advice to ALL of you would be that if this were ever ever released it would never be shown on video! There is so much awesome stuff happening around this time and it does get on my nerves at times just because of the excellent performances of all the cast and crew. This film really got me excited and scared!!! If that wasn't enough what about the good performances as well! You all have to see this movie and enjoy!",jsd_beta1e-1,2.7395198345184326,5.967696666717529
"I saw it in a posh movie theater where the audience is usually white, educated, and urban","I saw it in a posh movie theater where the audience is usually white, educated, and urban. There was a scene where they are being interviewed about the same subject, the main question being ""What do you see""? The script is an excellent vehicle by which the viewer is forced or given a sense of perspective. The music, acting, visual effects, music sets (which I have heard are used many times in every scene), the sets in which they play, in fact every single scene, was stunning and visually incredible. So you get the idea. Very, very high standards for the production and excellent dialogue. It is great for a movie with so many twists and turns in it. I highly recommend it to anyone who has read the book and enjoy films that are just great. If you don't have a good book to watch, this is a film for you. You cannot go wrong with the film, it is all about bringing a very well thought- out and thought provoking story, an emotional comedy movie that is entertaining every time it does it well. This film goes to great lengths to make you think and see. Some of it can be difficult to get into in some settings and with some great characters and situations, you will enjoy it! This is the first time I am sharing more with everyone. Thank you for supporting all of you to participate. All the",jsd_beta1e-1,2.8505444526672363,5.967696666717529
i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it,"i thought this movie was really really great! Helena did an amazing job in it! I thought she played her character very well! she's an AWESOME actress!! :)<br /><br />the movie was also really funny too! The jokes were great! i couldnt stop laughing! :)<br /><br />i think everyone should see it with their family and their kids! it is so funny! great movie! Everyone loves Helena! This is such a great film and really makes you feel great!! Great movie for everyone! Great family movie!! Everyone!! So beautiful and i think it will be a movie movie to everyone!! You will remember it!!!<Br />great movie, fantastic storyline, great actors and the great acting in this great picture! It had some great surprises and good things to say! <br alois christine joseph jonesen christian christson is wonderful and perfect family picture!! Amazing!<aaron christensen will forever be remembered as one of my favourite stars!! i am a huge fan of the actors of this incredible movie!!! I highly recommend everyone to see this outstanding movie and to love it so much! Amazing story and great cast!! I just absolutely loved the movie itself!! and I am so very lucky to have seen it!!< br /

",jsd_beta1e-1,2.8818671703338623,5.967696666717529
(spoilers??)<br /><br />I wasn't sure what to think of the movie,"(spoilers??)<br /><br />I wasn't sure what to think of the movie just watching it, I'm sure every other viewer here would have guessed that this made a great movie and that is why I gave it 9. I love the characters and the fact that the acting and directing is very good!! I especially enjoyed hearing the voice spoken by the lead character of one of his best villains: the Count Olaf!<strong/]That is a good cast including Kristie Alleye in her first full time role, Rourke Bogart as the new Countess of Oladri (She is in a new role that will hopefully add very much to her character later that year!!). Also an amazing actress, Kristi Mitchell is excellent as her friend who does her best to provide for her lovely and warm personality. This is one movie I will see on TV very soon and I hope it is an excellent film for teens! I recommend this movie, it has great cinematography, story and performances. It is fun to see a young blonde blonde on a big screen and look at her from this age! Definitely an awesome movie!!! There are some great acting performances by many great actresses including Scarlett Johansson(who is also very beautiful in this film) as Ola, Jessica Lange(in one scene she looks quite beautiful while playing in real life,",jsd_beta1e-1,2.8343544006347656,5.967696666717529
You're waiting to see if the remake is better or worse,"You're waiting to see if the remake is better or worse than the original!<br /><br />While there are plenty of characters to fill in the gaping holes, you can tell that the story of Kukri has been done well. I would recommend you to watch this film carefully. You will enjoy the fact that many parts are based on the characters in your mind. The best part about this movie is that Kuitar (the title translates to ""The Beast"" in Russian) can play his role brilliantly. A great soundtrack by Antonioni is also important. Kuchi Tambara is no film maker I have ever seen and is such a remarkable individual. Thank You, Othariya! :)<BR / F / D / G / H / I / J / K / L / M / N / O / P / Q / R / S / T / U / V / W / X / Y / Z / <br/><img style width=700 min height=300 min />The film also has excellent direction, great photography, fantastic dialog and the action sequences that would not be possible without the assistance of a great cast. Although the film is quite long, many shots are very well drawn and filmed in such an entertaining way that it's hard to leave the viewer without some of",jsd_beta1e-1,2.560006618499756,5.967696666717529
To me A Matter of Life and Death is just that- simply the best film ever made,"To me A Matter of Life and Death is just that- simply the best film ever made - and this is by far one of the most original and unique in terms of films of its time. The cast is stunning & we are fortunate to have the opportunity to meet so many of their amazing characters, from the charming yet naive Mr. & Mrs. B. as well as the highly intelligent M & Y. I especially love what they really bring to the screen here. Mr & Ms. Bridges, whilst playing the role is one the funniest with wonderful supporting cast (and one that is rarely overlooked) as they both embody all the qualities which make this one one truly memorable. This is a film which makes you laugh at every minute on set or inside a movie theatre during a tour. Each and every element in the film is fully utilized and is totally unique. Being set in England I was able to see each film's special effects whilst reading The Times of New York's new newspaper at my local pub, and watching the wonderful cast that was cast. There's no better movie to watch than THE DAYS OF NEW YORK AND on which many people watch every year for this long an incredibly enjoyable experience! The movie is well-made, has excellent dialogue and a gripping atmosphere all around it that make it unforgettable watching with friends and family. You'll laugh from beginning to",jsd_beta1e-1,2.8972883224487305,5.967696666717529
"I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth","I know I should like this film, and I do for the most part, but as other's have mentioned, it is a bit long in the tooth. The story focuses on what makes young girls so passionate about women in their young lives, that not only are they attracted to the female figure, they are constantly fascinated by her figure within a short time. Through this story and through various scenarios in life, one discovers that her love is an eternal bond between the three men in her life. It all occurs in an incredibly simple and powerful way.<br /><br />The film is wonderfully filmed with beautiful locations and scenery throughout in a very original setting for a film that is totally unique and unique at the same time.<b]The great cast of actors and actresses make this one a perfect film to watch, as there is little over 50 minute film in any language other than English, meaning we have much more to learn about them.<sup]Watch for this brilliant film by Charles Minghella, this is one of my all time favourite films, he is truly amazing! We are reminded of that time back in those '80's with the great movies that have come before him. He truly has the talent and ability to capture an unforgettable film! <braderon><strongbow><austin alford-davis-marcus-seagal>The actors, the cinematography, there are many beautiful images",jsd_beta1e-1,2.873108386993408,5.967696666717529
"I enjoyed this movie as a kid when it came out, and to this day still do","I enjoyed this movie as a kid when it came out, and to this day still do. I loved the storyline of the family dealing with a tough situation and growing up on it, but still believe myself to be a good person when I say that it was a great love story. Even though it wasn't done perfectly in the film, it made me want to laugh when i remember it. It was great to see my sister and her family through the experiences and hardships they endured during their infancy.<br /><br />Some people say this is a little cheesy, however I felt the concept was very realistic and real-born. The actors and directors were not perfect, they were strong. Every scene, scene and every scene in this film is real life and life on a whole new level. My opinion alone gave me incredible appreciation for the actors, actors of this show at the time, their amazing talent and their dedication to the show. Being an actress, your only task in life when you're younger, is not easy, so once you grow up it can be very exciting and fun for you and your parents. They give this great character every performance from every line you can imagine, making every comment and comment of every character a big part of life for me and my family. Their dedication always goes beyond anything else, being the first to talk a line while",jsd_beta1e-1,2.7800064086914062,5.967696666717529
This is a brilliant political satire,"This is a brilliant political satire that gives political commentaries a fresh air in the modern era. It is very refreshing, entertaining and enjoyable to see John Cage, a man of his time and a great actor, making movies which are considered classics and of utmost importance today. John has made his own unique style of movies from Hollywood over the last twenty years in films and television production, and his talent for delivering fresh and fresh perspectives can best be expressed in this fantastic film. The script tells great stories and great insight into each character. I must say that at least the entire movie was a pleasure to watch and it certainly made for an enjoyable evening of the movie, for those who like to read stories on political politics or politics of another nation and for me it is the perfect movie to do anything for any one who likes to talk about politics. A film that has got you moving with the witty humor and incredible writing and I do recommend it to all politicians, both political and non-political alike. This movie is one unique film, great for anyone interested in any type of political situation, its storyteller is great, so much laughter is generated, each episode being hilarious and fun to me.",jsd_beta1e-1,2.919335126876831,5.967696666717529
